"","om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
"46931","619",2005,1,7,"1/7/05","17:17:00",3,"MS",28,1,1,0,0,0.05,0,32.37,-90.22,32.37,-90.22,0.6,100,1,1,1,49,0,0,0,0
"46932","620",2005,1,7,"1/7/05","18:55:00",3,"MS",28,2,1,0,0,0.06,0,31.4,-90.4,31.4,-90.37,2,200,1,1,1,85,0,0,0,0
"46933","37",2005,1,7,"1/7/05","20:10:00",3,"MS",28,3,0,0,0,0.004,0,31.05,-90.23,31.05,-90.23,0.2,20,1,1,1,147,0,0,0,0
"46934","621",2005,1,7,"1/7/05","21:35:00",3,"MS",28,4,2,0,0,0.2,0,31.18,-89.45,31.2,-89.42,3,300,1,1,1,73,0,0,0,0
"46935","622",2005,1,7,"1/7/05","21:53:00",3,"MS",28,5,1,0,0,0.12,0,31.23,-89.32,31.23,-89.32,2,100,1,1,1,35,0,0,0,0
"46936","6",2005,1,7,"1/7/05","23:12:00",3,"AL",1,1,0,0,0,0.03,0,32.67,-87.63,32.67,-87.62,0.8,75,1,1,1,65,0,0,0,0
"46937","417",2005,1,8,"1/8/05","18:45:00",3,"CA",6,1,1,0,0,0.02,0,39.45,-121.57,39.45,-121.57,0.1,0,1,1,1,7,0,0,0,0
"46938","7",2005,1,9,"1/9/05","0:50:00",3,"HI",15,1,0,0,0,0,0,21.95,-159.68,21.95,-159.6,5,10,1,1,1,7,0,0,0,0
"46939","11",2005,1,9,"1/9/05","19:11:00",3,"CA",6,2,0,0,0,0.01,0,33.72,-116.97,33.72,-116.97,0.1,25,1,1,1,65,0,0,0,0
"46940","10",2005,1,10,"1/10/05","8:45:00",3,"CA",6,3,0,0,0,0,0,34.23,-119.17,34.23,-119.17,0.1,1,1,1,1,111,0,0,0,0
"46941","418",2005,1,11,"1/11/05","8:50:00",3,"CA",6,4,0,0,0,0,0,38.37,-121.98,38.37,-121.98,0.1,0,1,1,1,95,0,0,0,0
"46942","5",2005,1,12,"1/12/05","20:56:00",3,"MO",29,1,0,0,0,0.05,0,36.58,-92.28,36.58,-92.28,1,100,1,1,1,153,0,0,0,0
"46943","3",2005,1,12,"1/12/05","21:30:00",3,"MO",29,2,1,0,0,0.3,0,36.87,-91.9,37.03,-91.68,16,440,1,1,1,91,0,0,0,0
"46944","4",2005,1,12,"1/12/05","21:50:00",3,"MO",29,3,0,0,0,0.1,0,37.02,-91.68,37.02,-91.62,2,220,1,1,1,203,0,0,0,0
"46945","509",2005,1,12,"1/12/05","22:58:00",3,"LA",22,1,2,12,0,4,0,32.73,-93.13,32.78,-92.98,15,250,1,1,1,27,0,0,0,0
"46946","510",2005,1,12,"1/12/05","23:25:00",3,"AR",5,1,3,13,2,3,0,33.02,-92.73,33.23,-92.45,24,900,1,1,1,139,0,0,0,0
"46947","8",2005,1,13,"1/13/05","3:05:00",3,"IL",17,1,1,0,0,0.07,0,37.2,-89.18,37.3,-89.02,11,100,1,1,1,153,0,0,0,0
"46948","1",2005,1,13,"1/13/05","7:07:00",3,"MS",28,6,1,0,0,0.05,0,33.93,-88.48,33.93,-88.48,0.4,40,1,1,1,95,0,0,0,0
"46949","36",2005,1,13,"1/13/05","8:35:00",3,"MS",28,7,0,0,0,0.01,0,30.53,-89.68,30.53,-89.68,0.1,20,1,1,1,109,0,0,0,0
"46950","623",2005,1,13,"1/13/05","16:58:00",3,"GA",13,1,1,5,2,0.26,0,31.4,-84.73,31.43,-84.75,3,100,1,1,1,99,37,0,0,0
"46951","614",2005,1,13,"1/13/05","17:15:00",3,"GA",13,2,0,0,0,0,0,33.5,-82.42,33.5,-82.42,0.1,30,1,1,1,189,0,0,0,0
"46952","615",2005,1,13,"1/13/05","17:37:00",3,"GA",13,3,0,0,0,0,0,33.68,-82.33,33.68,-82.33,0.2,40,1,1,1,73,0,0,0,0
"46953","616",2005,1,13,"1/13/05","17:40:00",3,"GA",13,4,0,0,0,0,0,33.75,-82.32,33.75,-82.32,0.1,30,1,1,1,181,0,0,0,0
"46954","617",2005,1,13,"1/13/05","17:52:00",3,"SC",45,1,0,0,0,0,0,33.8,-82.2,33.8,-82.2,0.2,40,1,1,1,65,0,0,0,0
"46955","112",2005,1,13,"1/13/05","18:13:00",3,"SC",45,2,2,1,0,2,0,34.4,-82.13,34.55,-82.02,12,350,1,1,1,59,0,0,0,0
"46956","618",2005,1,13,"1/13/05","18:46:00",3,"SC",45,3,0,0,0,0,0,34.2,-81.87,34.38,-81.77,11,40,1,1,1,71,0,0,0,0
"46957","113",2005,1,14,"1/14/05","0:45:00",3,"NC",37,1,2,0,0,0.5,0,35.57,-80.38,35.57,-80.38,0.3,100,1,1,1,159,0,0,0,0
"46958","2",2005,1,14,"1/14/05","3:45:00",3,"NC",37,2,0,0,0,0,0,36.15,-79.07,36.15,-79.07,0.3,50,1,1,1,135,0,0,0,0
"46959","624",2005,1,14,"1/14/05","4:30:00",3,"VA",51,1,0,0,0,0.01,0,37.85,-77.58,37.85,-77.58,0.8,30,1,1,1,85,0,0,0,0
"46960","625",2005,1,14,"1/14/05","4:55:00",3,"VA",51,2,1,0,0,0.01,0,36.7,-78.13,36.7,-78.13,0.5,50,1,1,1,117,0,0,0,0
"46961","626",2005,1,14,"1/14/05","6:25:00",3,"VA",51,3,1,0,0,0.01,0,37.92,-76.77,37.97,-76.67,7,50,1,1,1,159,0,0,0,0
"46962","627",2005,1,14,"1/14/05","6:45:00",3,"VA",51,4,1,0,0,0.01,0,37.7,-76.32,37.7,-76.32,1,60,1,1,1,133,0,0,0,0
"46963","9",2005,1,27,"1/27/05","21:30:00",3,"CA",6,5,1,0,0,0.15,0,38.62,-123.12,38.62,-123.12,0.5,25,1,1,1,97,0,0,0,0
"46964","16",2005,2,19,"2/19/05","9:42:00",3,"CA",6,6,0,0,0,0.01,0,33.67,-118,33.67,-118,0.2,20,1,1,1,59,0,0,0,0
"46965","634",2005,2,19,"2/19/05","11:17:00",3,"CA",6,7,0,0,0,0.05,0,33.35,-117.28,33.38,-117.25,2.5,25,1,1,1,73,0,0,0,0
"46966","635",2005,2,19,"2/19/05","11:30:00",3,"CA",6,8,0,0,0,0.03,0,33.42,-117.15,33.42,-117.15,2.2,15,1,1,1,73,0,0,0,0
"46967","636",2005,2,19,"2/19/05","11:35:00",3,"CA",6,9,1,0,0,0.1,0,33.48,-117.17,33.5,-117.15,2.8,25,1,1,1,65,0,0,0,0
"46968","421",2005,2,21,"2/21/05","15:30:00",3,"CA",6,10,0,0,0,0.002,0,38.58,-121.53,38.58,-121.53,0.1,0,1,1,1,113,0,0,0,0
"46969","420",2005,2,21,"2/21/05","15:50:00",3,"CA",6,11,0,0,0,0,0,38.57,-121.45,38.57,-121.45,0.1,0,1,1,1,67,0,0,0,0
"46970","419",2005,2,21,"2/21/05","15:54:00",3,"CA",6,12,0,0,0,0.65,0,38.62,-121.47,38.62,-121.47,0.3,0,1,1,1,67,0,0,0,0
"46971","17",2005,2,23,"2/23/05","12:50:00",3,"CA",6,13,0,0,0,0,0,32.63,-117.08,32.63,-117.08,0.1,10,1,1,1,73,0,0,0,0
"46972","18",2005,2,26,"2/26/05","17:00:00",3,"CA",6,14,0,0,0,0,0,33.7,-117.3,33.7,-117.3,2,15,1,1,1,65,0,0,0,0
