"","om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
"52081","1",2009,1,3,"1/3/09","13:13:00",3,"MS",28,0,1,0,0,0.04,0,31.875,-89.331,31.888,-89.327,0.93,175,1,1,1,129,0,0,0,0
"52082","2",2009,1,6,"1/6/09","16:05:00",3,"GA",13,0,0,0,0,0.05,0,34.3227,-85.3844,34.3515,-85.3727,2.1,100,1,1,1,55,0,0,0,0
"52083","3",2009,1,7,"1/7/09","2:00:00",3,"GA",13,0,0,0,0,0.025,0,32.9789,-83.8904,32.9858,-83.8414,2.88,100,1,1,1,207,0,0,0,0
"52084","4",2009,1,10,"1/10/09","15:33:00",3,"MS",28,0,0,0,0,0,0.002,32.4983,-88.5795,32.5089,-88.5495,1.9,30,1,1,1,75,0,0,0,0
"52085","5",2009,1,10,"1/10/09","17:05:00",3,"AL",1,0,1,0,0,2.5,0,31.269,-88.032,31.2751,-88.0055,1.6,200,1,1,1,129,0,0,0,0
"52086","6",2009,1,24,"1/24/09","17:00:00",3,"CA",6,0,0,0,0,0.1,0,39.3602,-122.041,39.3602,-122.041,0.1,40,1,1,1,21,0,0,0,0
"52087","7",2009,2,9,"2/9/09","13:32:00",3,"CA",6,0,0,0,0,0,0,37.21,-120.6,37.21,-120.6,0.1,20,1,1,1,47,0,0,0,0
"52088","8",2009,2,10,"2/10/09","14:36:00",3,"OK",40,0,1,0,0,1,0,35.5553,-97.6397,35.5602,-97.6296,0.66,75,1,1,1,109,0,0,0,0
"52089","9",2009,2,10,"2/10/09","14:53:00",3,"OK",40,0,2,0,0,0,0,35.6631,-97.5309,35.7308,-97.4734,5.72,250,1,1,1,109,83,0,0,0
"52090","10",2009,2,10,"2/10/09","15:24:00",3,"OK",40,0,1,0,0,0,0,35.861,-97.2846,35.8709,-97.2771,1,10,1,1,1,83,0,0,0,0
"52091","11",2009,2,10,"2/10/09","15:39:00",3,"OK",40,0,1,0,0,0,0,35.953,-97.183,36.07,-97.105,9.6,50,1,1,1,119,0,0,0,0
"52092","12",2009,2,10,"2/10/09","16:35:00",3,"OK",40,0,0,0,0,0.03,0,36.2899,-96.8206,36.3228,-96.8,2.6,400,1,1,1,117,0,0,0,0
"52093","13",2009,2,10,"2/10/09","18:25:00",3,"TX",48,0,0,0,0,0.02,0,33.7888,-97.8338,33.7926,-97.8287,0.39,35,1,1,1,337,0,0,0,0
"52094","14",2009,2,10,"2/10/09","18:45:00",3,"TX",48,0,4,0,8,3,0,33.93,-97.62,34.26,-97.113,36.99,880,2,0,1,0,0,0,0,0
"52095","15",2009,2,10,"2/10/09","21:15:00",3,"TX",48,0,1,0,0,0.75,0,32.9106,-97.1416,32.9144,-97.1349,0.47,100,1,1,1,439,0,0,0,0
"52096","16",2009,2,10,"2/10/09","22:43:00",3,"MO",29,0,1,0,0,0.35,0,37.1332,-93.3371,37.1917,-93.2714,5.42,75,1,1,1,77,0,0,0,0
"52097","17",2009,2,10,"2/10/09","23:16:00",3,"TX",48,0,1,0,0,0.4,0,32.578,-95.497,32.664,-95.43,7.11,300,1,1,1,423,499,0,0,0
"52098","18",2009,2,11,"2/11/09","1:04:00",3,"LA",22,0,1,0,0,0.15,0,32.152,-93.935,32.162,-93.914,1.5,150,1,1,1,31,0,0,0,0
"52099","19",2009,2,11,"2/11/09","14:03:00",3,"TN",47,0,1,0,0,0.05,0,36.1534,-85.083,36.1678,-85.0864,0.52,75,1,1,1,49,0,0,0,0
"52100","20",2009,2,11,"2/11/09","14:30:00",3,"IN",18,0,1,0,0,0.013,0,40.1122,-85.3281,40.1136,-85.3271,0.11,100,1,1,1,35,0,0,0,0
"52101","21",2009,2,11,"2/11/09","16:59:00",3,"VA",51,0,0,0,0,0.03,0,36.99,-82.06,36.99,-82.06,4.2,200,1,1,1,167,0,0,0,0
"52102","149420",2009,2,11,"2/11/09","17:05:00",3,"HI",15,0,0,1,0,0,0,21.3398,-158.064,21.345,-158.064,0.36,15,1,1,1,3,0,0,0,0
"52103","23",2009,2,18,"2/18/09","16:45:00",3,"GA",13,0,0,0,0,0.05,0,32.4908,-84.1491,32.4918,-84.083,3.85,33,1,1,1,269,0,0,0,0
"52104","24",2009,2,18,"2/18/09","17:25:00",3,"GA",13,0,0,0,0,0,0,32.6531,-83.5979,32.6531,-83.5979,0.01,1,1,1,1,153,0,0,0,0
"52105","25",2009,2,18,"2/18/09","17:44:00",3,"GA",13,0,1,0,0,0.2,0,33.74,-83.4292,33.7383,-83.3528,5.44,880,1,1,1,219,0,0,0,0
"52106","26",2009,2,18,"2/18/09","18:15:00",3,"GA",13,0,1,0,0,0.25,0,33.3,-83.5973,33.3,-83.5454,3,440,1,1,1,159,0,0,0,0
"52107","27",2009,2,18,"2/18/09","18:19:00",3,"GA",13,0,1,1,0,0.2,0,33.3,-83.5,33.2833,-83.35,8.74,1320,1,1,1,237,0,0,0,0
"52108","28",2009,2,18,"2/18/09","18:26:00",3,"GA",13,0,3,0,0,0.3,0.05,33.67,-82.87,33.638,-82.529,19.74,880,1,1,1,317,189,0,0,0
"52109","29",2009,2,18,"2/18/09","18:55:00",3,"AL",1,0,1,0,0,0.01,0,33.2343,-85.272,33.2332,-85.2573,0.85,500,1,1,1,111,0,0,0,0
"52110","30",2009,2,18,"2/18/09","19:05:00",3,"GA",13,0,1,0,0,0.625,0,33.5102,-83.8848,33.5148,-83.8358,2.84,200,1,1,1,217,0,0,0,0
"52111","31",2009,2,18,"2/18/09","19:16:00",3,"GA",13,0,1,0,0,0.125,0,33.4499,-83.7442,33.4205,-83.6245,7.19,440,1,1,1,159,0,0,0,0
"52112","32",2009,2,18,"2/18/09","19:30:00",3,"GA",13,0,2,0,0,1.326,0,33.2232,-84.7678,33.21,-84.43,20.43,1760,1,1,1,199,77,255,0,0
"52113","33",2009,2,18,"2/18/09","21:48:00",3,"GA",13,0,3,3,1,0.55,0,33.26,-82.89,33.26,-82.71,10.4,500,1,1,1,141,301,125,0,0
"52114","34",2009,2,18,"2/18/09","23:50:00",3,"GA",13,0,2,0,0,1,0,30.8043,-84.182,30.8124,-84.0823,5.94,250,1,1,1,131,0,0,0,0
"52115","35",2009,2,18,"2/18/09","23:55:00",3,"GA",13,0,2,0,0,10,0,30.8124,-84.0815,30.8101,-83.9055,10.44,400,1,1,1,275,0,0,0,0
"52116","36",2009,2,19,"2/19/09","0:20:00",3,"GA",13,0,3,0,0,0.1,0,30.8239,-83.7993,30.8241,-83.7748,1.45,500,1,1,1,275,0,0,0,0
