"","om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
"48194","1",2006,1,1,"1/1/06","15:25:00",3,"MS",28,1,1,0,0,0.1,0,31.05,-89.75,31.07,-89.73,1,50,1,1,1,91,0,0,0,0
"48195","2",2006,1,2,"1/2/06","3:00:00",3,"MO",29,1,0,0,0,0,0,38.68,-90.92,38.7,-90.92,0.5,40,1,1,1,183,0,0,0,0
"48196","3",2006,1,2,"1/2/06","4:45:00",3,"MO",29,2,0,0,0,0,0,37.38,-91.1,37.38,-91.08,0.5,50,1,1,1,179,0,0,0,0
"48197","4",2006,1,2,"1/2/06","5:25:00",3,"MO",29,3,1,0,0,0,0,38.67,-90.42,38.67,-90.42,1,50,1,1,1,189,0,0,0,0
"48198","5",2006,1,2,"1/2/06","8:02:00",3,"IL",17,1,1,0,0,0.01,0,39.27,-89.12,39.27,-89.12,0.1,35,1,1,1,173,0,0,0,0
"48199","6",2006,1,2,"1/2/06","11:55:00",3,"FL",12,1,0,0,0,0.01,0,30.02,-84.98,30.02,-84.98,0.2,50,1,1,1,77,0,0,0,0
"48200","7",2006,1,2,"1/2/06","13:43:00",3,"KY",21,1,2,0,0,2,0,37.67,-85.97,37.77,-85.9,8.4,150,1,1,1,93,0,0,0,0
"48201","8",2006,1,2,"1/2/06","13:50:00",3,"KY",21,2,1,0,0,0.5,0,37.45,-85.87,37.5,-85.77,6.4,175,1,1,1,123,0,0,0,0
"48202","10",2006,1,2,"1/2/06","14:22:00",3,"KY",21,4,1,0,0,0.25,0,38.22,-85.83,38.23,-85.82,1.5,34,1,1,1,111,0,0,0,0
"48203","9",2006,1,2,"1/2/06","14:22:00",3,"KY",21,3,2,0,0,0.15,0,37.1,-85.28,37.1,-85.27,0.6,200,1,1,1,1,0,0,0,0
"48204","11",2006,1,2,"1/2/06","14:57:00",3,"KY",21,5,1,0,0,0.07,0,37.22,-85.08,37.22,-85.08,0.5,100,1,1,1,1,0,0,0,0
"48205","12",2006,1,2,"1/2/06","15:34:00",3,"KY",21,6,2,2,0,0.35,0,37.4,-84.77,37.47,-84.62,8.7,200,1,1,1,137,0,0,0,0
"48206","13",2006,1,2,"1/2/06","15:45:00",3,"GA",13,1,2,0,0,2.25,0,33.52,-84.67,33.5,-84.55,7,440,1,1,1,121,113,0,0,0
"48207","14",2006,1,2,"1/2/06","16:12:00",3,"GA",13,2,3,3,0,0.75,0,33.15,-84.45,33.15,-84.4,3,440,1,1,1,231,0,0,0,0
"48208","15",2006,1,2,"1/2/06","16:44:00",3,"GA",13,3,0,0,0,0.002,0,33.15,-84.13,33.15,-84.13,0.2,50,1,1,1,171,0,0,0,0
"48209","16",2006,1,2,"1/2/06","16:48:00",3,"GA",13,4,1,0,0,0.5,0,33.5,-84.15,33.48,-84.13,0.6,300,1,1,1,151,0,0,0,0
"48210","17",2006,1,2,"1/2/06","17:35:00",3,"GA",13,5,1,0,0,0.15,0,33.07,-83.62,33.05,-83.57,3,300,1,1,1,169,0,0,0,0
"48211","18",2006,1,2,"1/2/06","19:22:00",3,"GA",13,6,1,0,0,0.3,0,32.75,-82.52,32.72,-82.27,12,440,1,1,1,167,107,0,0,0
"48212","19",2006,1,2,"1/2/06","20:15:00",3,"GA",13,7,0,0,0,0.05,0,32.65,-81.93,32.65,-81.93,0.1,25,1,1,1,165,0,0,0,0
"48213","20",2006,1,11,"1/11/06","16:20:00",3,"VA",51,1,1,0,0,0.02,0,36.95,-77.27,36.97,-77.23,3.5,200,1,1,1,183,0,0,0,0
"48214","21",2006,1,11,"1/11/06","17:23:00",3,"VA",51,2,1,2,0,0.02,0,37.22,-76.82,37.22,-76.82,0.8,25,1,1,1,95,0,0,0,0
"48215","22",2006,1,12,"1/12/06","22:29:00",3,"AR",5,1,2,0,0,0,0,35.12,-93.35,35.22,-93.1,14.7,75,1,1,1,149,115,0,0,0
"48216","23",2006,1,13,"1/13/06","4:20:00",3,"LA",22,1,1,1,0,0.45,0,31.7,-91.58,31.72,-91.55,2,100,1,1,1,29,0,0,0,0
"48217","24",2006,1,13,"1/13/06","10:01:00",3,"AL",1,1,1,0,1,0.5,0,31.43,-87.12,31.43,-87.12,1,880,1,1,1,35,0,0,0,0
"48218","25",2006,1,13,"1/13/06","10:41:00",3,"FL",12,2,0,13,0,2,0,30.8,-86.7,30.83,-86.65,4,50,1,1,1,91,0,0,0,0
"48219","26",2006,1,13,"1/13/06","10:56:00",3,"FL",12,3,1,0,0,0.5,0,30.85,-87.02,30.85,-87.02,0.8,75,1,1,1,113,0,0,0,0
"48220","27",2006,1,13,"1/13/06","12:00:00",3,"AL",1,2,0,0,0,0.5,0,31.3,-85.78,31.32,-85.77,1,50,1,1,1,45,0,0,0,0
"48221","28",2006,1,13,"1/13/06","12:20:00",3,"AL",1,3,0,1,0,0.25,0,32,-85.45,32.02,-85.28,8.5,100,1,1,1,5,0,0,0,0
"48222","29",2006,1,13,"1/13/06","12:45:00",3,"AL",1,4,0,0,0,0.1,0,31.4,-85.27,31.4,-85.27,0.2,50,1,1,1,67,0,0,0,0
"48223","30",2006,1,13,"1/13/06","15:15:00",3,"GA",13,8,1,1,0,2,0,31.25,-83.68,31.37,-83.58,9.6,100,1,1,1,71,0,0,0,0
"48224","31",2006,1,13,"1/13/06","16:18:00",3,"SC",45,1,0,0,0,0,0,34.13,-81.23,34.1,-81.25,0.2,40,1,1,1,63,79,0,0,0
"48225","32",2006,1,13,"1/13/06","19:00:00",3,"SC",45,2,0,0,0,0,0,33.3,-81.03,33.3,-81.03,0.1,40,1,1,1,9,0,0,0,0
"48226","33",2006,1,13,"1/13/06","19:06:00",3,"NC",37,1,1,0,0,0.35,0,35.28,-81.25,35.28,-81.25,0.5,100,1,1,1,71,0,0,0,0
"48227","34",2006,1,13,"1/13/06","19:25:00",3,"SC",45,3,0,0,0,0,0,33.4,-80.95,33.4,-80.95,0.3,50,1,1,1,75,0,0,0,0
"48228","35",2006,1,13,"1/13/06","19:30:00",3,"GA",13,9,0,0,0,0.2,0,30.92,-81.65,30.92,-81.65,0.1,0,1,1,1,39,0,0,0,0
"48229","36",2006,1,13,"1/13/06","20:02:00",3,"SC",45,4,0,0,0,0.01,0,33.4,-80.75,33.4,-80.75,0.3,50,1,1,1,75,0,0,0,0
"48230","37",2006,1,13,"1/13/06","20:35:00",3,"SC",45,5,1,18,0,0.5,0,33.72,-80.28,33.77,-80.22,6,440,1,1,1,27,0,0,0,0
"48231","38",2006,1,14,"1/14/06","0:39:00",3,"NC",37,2,1,0,0,0.25,0,35.45,-77.75,35.45,-77.75,0.7,75,1,1,1,79,0,0,0,0
"48232","39",2006,1,14,"1/14/06","0:48:00",3,"NC",37,3,1,0,0,0.75,0,35.43,-77.65,35.43,-77.65,1.5,75,1,1,1,79,0,0,0,0
"48233","40",2006,1,14,"1/14/06","1:15:00",3,"VA",51,3,0,0,0,0.01,0,37.77,-76.88,37.77,-76.88,0.3,50,1,1,1,97,0,0,0,0
"48234","41",2006,1,14,"1/14/06","2:12:00",3,"NC",37,4,1,0,0,0.03,0,36.15,-76.43,36.15,-76.43,0.3,50,1,1,1,143,0,0,0,0
"48235","42",2006,1,14,"1/14/06","16:25:00",3,"CA",6,1,0,0,0,0,0,37.53,-120.28,37.53,-120.28,0.1,25,1,1,1,43,0,0,0,0
"48236","43",2006,1,17,"1/17/06","18:40:00",3,"SC",45,6,0,0,0,0.001,0,34.35,-81.95,34.35,-81.95,0.1,20,1,1,1,59,0,0,0,0
"48237","44",2006,1,28,"1/28/06","15:17:00",3,"KS",20,1,0,0,0,0.1,0,38.07,-97.33,38.1,-97.28,4,50,1,1,1,79,0,0,0,0
"48238","45",2006,1,28,"1/28/06","15:27:00",3,"KS",20,2,0,0,0,0.01,0,39.55,-97.02,39.55,-97.02,0.8,75,1,1,1,27,0,0,0,0
"48239","46",2006,1,28,"1/28/06","15:53:00",3,"KS",20,3,0,0,0,0,0,39.67,-96.9,39.67,-96.9,0.3,50,1,1,1,201,0,0,0,0
"48240","47",2006,1,28,"1/28/06","16:30:00",3,"WA",53,1,0,0,0,0,0,46.98,-122.73,46.98,-122.73,0.5,90,1,1,1,67,0,0,0,0
"48241","48",2006,2,2,"2/2/06","2:34:00",3,"LA",22,2,1,1,0,0.75,0,30,-90.25,30.02,-90.23,3.5,150,1,1,1,51,0,0,0,0
"48242","49",2006,2,2,"2/2/06","2:39:00",3,"LA",22,3,2,0,0,0.1,0,29.98,-90.15,29.95,-90.1,5.5,150,1,1,1,51,71,0,0,0
"48243","50",2006,2,2,"2/2/06","15:20:00",3,"AL",1,5,0,0,0,0.03,0,31.63,-87.25,31.63,-87.25,0.5,30,1,1,1,99,0,0,0,0
"48244","51",2006,2,2,"2/2/06","15:25:00",3,"AL",1,6,0,0,0,0.01,0,31.6,-87.17,31.6,-87.17,0.5,30,1,1,1,35,0,0,0,0
"48245","52",2006,2,4,"2/4/06","10:43:00",3,"SC",45,7,0,0,0,0,0,34.18,-81.18,34.25,-81.07,5,60,1,1,1,39,79,0,0,0
"48246","53",2006,2,4,"2/4/06","14:05:00",3,"VA",51,4,1,1,0,0.09,0,36.8,-79.55,36.82,-79.53,2,200,1,1,1,143,0,0,0,0
"48247","54",2006,2,4,"2/4/06","14:08:00",3,"VA",51,5,0,0,0,0.002,0,36.85,-79.53,36.85,-79.53,0.1,20,1,1,1,143,0,0,0,0
"48248","55",2006,2,10,"2/10/06","16:30:00",3,"TX",48,1,0,0,0,0.04,0,29.7,-95.52,29.7,-95.52,0.2,20,1,1,1,201,0,0,0,0
"48249","56",2006,2,16,"2/16/06","16:00:00",3,"MO",29,4,0,0,0,0,0,37.32,-91.42,37.32,-91.42,0.2,100,1,1,1,203,0,0,0,0
"48250","57",2006,2,16,"2/16/06","16:35:00",3,"IL",17,2,1,0,0,0.02,0,40.87,-87.73,40.87,-87.73,0.1,25,1,1,1,75,0,0,0,0
"48251","58",2006,2,16,"2/16/06","18:54:00",3,"IN",18,1,1,0,0,1.5,0,39.43,-87.37,39.45,-87.3,4.2,100,1,1,1,167,0,0,0,0
"48252","59",2006,2,16,"2/16/06","19:18:00",3,"MO",29,5,1,0,0,0.1,0,37.1,-89.55,37.12,-89.55,0.5,225,1,1,1,201,0,0,0,0
"48253","60",2006,3,9,"3/9/06","0:19:00",3,"MO",29,6,0,0,0,0.01,0,38.63,-93.23,38.63,-93.23,1.3,50,1,1,1,159,0,0,0,0
"48254","61",2006,3,9,"3/9/06","5:40:00",3,"AR",5,2,1,0,0,0,0,34.65,-92.07,34.67,-92.05,1,25,1,1,1,85,0,0,0,0
"48255","62",2006,3,9,"3/9/06","6:50:00",3,"AR",5,3,2,6,0,0.1,0,35.2,-91.15,35.25,-91.05,15.7,100,1,1,1,147,37,0,0,0
"48256","63",2006,3,9,"3/9/06","7:33:00",3,"AR",5,4,0,0,0,0,0,33.95,-94.18,33.95,-94.15,2,60,1,1,1,133,0,0,0,0
"48257","64",2006,3,9,"3/9/06","7:55:00",3,"AR",5,5,1,0,0,0.01,0,34.03,-93.93,34.17,-93.75,15.2,300,1,1,1,61,109,0,0,0
"48258","65",2006,3,9,"3/9/06","8:18:00",3,"AR",5,6,1,0,0,0,0,34.23,-93.63,34.3,-93.55,8,50,1,1,1,109,0,0,0,0
"48259","66",2006,3,9,"3/9/06","13:00:00",3,"MS",28,2,1,0,0,0.5,0,34.42,-89.93,34.43,-89.92,1,200,1,1,1,107,0,0,0,0
"48260","67",2006,3,9,"3/9/06","15:05:00",3,"MS",28,3,0,0,0,0,0,31.23,-90.92,31.23,-90.92,0.1,25,1,1,1,5,0,0,0,0
"48261","68",2006,3,9,"3/9/06","17:44:00",3,"MO",29,7,1,0,0,0.9,0,36.8,-89.97,36.82,-89.97,1.2,175,1,1,1,207,0,0,0,0
"48262","69",2006,3,10,"3/10/06","18:38:00",3,"CA",6,2,0,0,0,0.002,0,33.05,-117.3,33.05,-117.3,0.2,15,1,1,1,73,0,0,0,0
"48263","70",2006,3,11,"3/11/06","0:12:00",3,"OK",40,1,1,0,0,0.7,0,35.15,-94.68,35.15,-94.68,1.5,100,1,1,1,79,0,0,0,0
"48264","71",2006,3,11,"3/11/06","14:11:00",3,"CA",6,3,0,0,0,0.03,0,33.1,-116.93,33.1,-116.87,2,45,1,1,1,73,0,0,0,0
"48265","72",2006,3,11,"3/11/06","16:35:00",3,"MO",29,8,0,0,0,0,0,36.63,-93.25,36.72,-93.15,8,20,1,1,1,213,0,0,0,0
"48266","73",2006,3,11,"3/11/06","17:15:00",3,"IL",17,3,0,0,0,0,0,39.53,-90.77,39.53,-90.77,0.1,40,1,1,1,149,0,0,0,0
"48267","74",2006,3,11,"3/11/06","17:20:00",3,"IL",17,4,0,0,0,0,0,39.57,-90.65,39.57,-90.65,0.1,50,1,1,1,149,0,0,0,0
"48268","75",2006,3,11,"3/11/06","17:50:00",3,"MO",29,9,0,0,0,0.01,0,37.02,-92.32,37.02,-92.32,0.1,20,1,1,1,67,0,0,0,0
"48269","76",2006,3,11,"3/11/06","19:50:00",3,"MO",29,10,0,0,0,0,0,37.85,-91.82,37.85,-91.77,3,25,1,1,1,161,0,0,0,0
"48270","77",2006,3,11,"3/11/06","19:55:00",3,"MO",29,11,2,0,0,0,0,37.35,-90.97,37.6,-90.53,35.5,450,1,1,1,179,93,123,0,0
"48271","78",2006,3,11,"3/11/06","20:48:00",3,"MO",29,12,1,0,0,0,0,37.57,-90.38,37.55,-90.37,0.7,75,1,1,1,123,0,0,0,0
"48272","79",2006,3,11,"3/11/06","20:54:00",3,"MO",29,13,1,0,0,0,0,37.6,-90.32,37.65,-90.25,11,300,1,1,1,123,187,186,0,0
"48273","80",2006,3,11,"3/11/06","21:20:00",3,"MO",29,14,3,12,2,2.2,0,37.82,-90,38.18,-89.27,53.5,400,2,0,1,0,0,0,0,0
"48274","81",2006,3,11,"3/11/06","21:42:00",3,"MO",29,15,3,0,0,0,0,38.12,-90.33,38.18,-90.25,5.1,200,2,0,1,0,0,0,0,0
"48275","82",2006,3,11,"3/11/06","21:46:00",3,"IL",17,6,1,0,0,0,0,38.15,-90.25,38.17,-90.22,2.4,100,1,1,1,133,0,0,0,0
"48276","83",2006,3,11,"3/11/06","23:26:00",3,"IL",17,7,1,0,0,0.07,0,38.28,-88.65,38.3,-88.65,1,600,1,1,1,191,0,0,0,0
"48277","84",2006,3,11,"3/11/06","23:50:00",3,"AR",5,7,1,0,0,0,0,36.02,-92.53,36.03,-92.53,0.8,25,1,1,1,129,0,0,0,0
"48278","85",2006,3,12,"3/12/06","0:41:00",3,"AR",5,8,0,0,0,0,0,36.3,-91.97,36.32,-91.95,1.5,25,1,1,1,49,0,0,0,0
"48279","86",2006,3,12,"3/12/06","5:31:00",3,"IL",17,8,0,0,0,0.05,0,37.3,-88.92,37.3,-88.9,0.9,50,1,1,1,127,0,0,0,0
"48280","87",2006,3,12,"3/12/06","8:20:00",3,"KS",20,4,0,0,0,0.01,0,39,-95.02,39,-95,1,50,1,1,1,103,0,0,0,0
"48281","88",2006,3,12,"3/12/06","9:12:00",3,"MO",29,16,1,0,0,0.04,0,39.2,-94.22,39.27,-93.95,17,150,1,1,1,95,177,0,0,0
"48282","89",2006,3,12,"3/12/06","9:44:00",3,"MO",29,17,0,0,0,0.25,0,39.3,-93.68,39.37,-93.47,9.6,100,1,1,1,33,0,0,0,0
"48283","90",2006,3,12,"3/12/06","10:46:00",3,"MO",29,18,0,0,0,0,0,39.47,-92.57,39.5,-92.33,10.5,75,1,1,1,175,0,0,0,0
"48284","91",2006,3,12,"3/12/06","10:57:00",3,"MO",29,19,0,0,0,0,0,39.5,-92.22,39.5,-92.22,0.1,50,1,1,1,137,0,0,0,0
"48285","92",2006,3,12,"3/12/06","11:25:00",3,"MO",29,20,0,0,0,0,0,39.63,-91.67,39.63,-91.67,0.2,50,1,1,1,173,0,0,0,0
"48286","93",2006,3,12,"3/12/06","14:20:00",3,"KS",20,5,0,0,0,0.4,0,38.32,-94.65,38.42,-94.37,16.4,220,2,0,1,0,0,0,0,0
"48287","94",2006,3,12,"3/12/06","15:49:00",3,"MO",29,22,0,0,0,0.01,0,38.82,-93.38,39,-92.92,28,150,1,1,1,159,53,0,0,0
"48288","95",2006,3,12,"3/12/06","15:50:00",3,"MO",29,23,1,0,0,0.1,0,38.48,-93.6,38.55,-93.35,13,150,1,1,1,83,15,159,0,0
"48289","96",2006,3,12,"3/12/06","16:12:00",3,"MO",29,24,2,6,1,2.5,0,38.62,-93.28,38.67,-93.12,11.2,500,1,1,1,159,0,0,0,0
"48290","97",2006,3,12,"3/12/06","16:25:00",3,"MO",29,25,1,0,0,0.01,0,38.67,-93.05,38.67,-93.03,1,250,1,1,1,141,0,0,0,0
"48291","98",2006,3,12,"3/12/06","16:30:00",3,"MO",29,26,0,0,0,0,0,38.72,-93.03,38.73,-93.03,1,75,1,1,1,53,0,0,0,0
"48292","99",2006,3,12,"3/12/06","16:33:00",3,"MO",29,27,0,0,0,0,0,39.08,-92.78,39.12,-92.73,3,75,1,1,1,89,0,0,0,0
"48293","100",2006,3,12,"3/12/06","17:25:00",3,"MO",29,28,0,0,0,0,0,39.25,-91.95,39.32,-91.87,6,75,1,1,1,7,0,0,0,0
"48294","101",2006,3,12,"3/12/06","18:24:00",3,"MO",29,29,0,0,0,0,0,39.2,-91.28,39.22,-91.28,1,50,1,1,1,163,0,0,0,0
"48295","102",2006,3,12,"3/12/06","18:25:00",3,"MO",29,30,1,0,0,0,0,39.22,-91.28,39.23,-91.22,5,125,1,1,1,163,0,0,0,0
"48296","103",2006,3,12,"3/12/06","19:04:00",3,"IL",17,9,2,20,0,0,0,39.35,-90.68,39.65,-90.02,67,880,1,1,1,13,149,61,171,0
"48297","104",2006,3,12,"3/12/06","19:20:00",3,"IL",17,10,1,2,0,0,0,39.48,-90.43,39.5,-90.38,3.5,100,1,1,1,61,0,0,0,0
"48298","105",2006,3,12,"3/12/06","19:25:00",3,"IL",17,11,1,0,0,0,0,39.5,-90.42,39.58,-90.27,11.8,75,1,1,1,61,171,137,0,0
"48299","106",2006,3,12,"3/12/06","19:51:00",3,"MO",29,31,0,0,0,0,0,38.8,-93.63,38.87,-93.47,8.8,100,1,1,1,101,159,0,0,0
"48300","107",2006,3,12,"3/12/06","19:52:00",3,"MO",29,32,2,13,1,0.58,0,38.25,-94.33,38.55,-93.92,26,450,1,1,1,13,37,83,0,0
"48301","108",2006,3,12,"3/12/06","19:58:00",3,"IL",17,12,1,0,0,0,0,39.62,-90.05,39.67,-89.85,12,440,1,1,1,137,167,0,0,0
"48302","109",2006,3,12,"3/12/06","20:07:00",3,"MO",29,33,2,6,0,3,0,38.93,-93.45,39.13,-93.15,20,150,1,1,1,159,195,0,0,0
"48303","110",2006,3,12,"3/12/06","20:24:00",3,"IL",17,13,2,0,0,0,0,39.8,-89.65,39.8,-89.58,4,400,1,1,1,167,0,0,0,0
"48304","111",2006,3,12,"3/12/06","20:28:00",3,"MO",29,34,3,0,0,0.53,0,39.05,-93.2,39.27,-92.67,35,350,1,1,1,195,89,0,0,0
"48305","112",2006,3,12,"3/12/06","20:32:00",3,"IL",17,14,2,4,0,0,0,39.8,-89.53,39.9,-89.35,12.5,200,1,1,1,167,0,0,0,0
"48306","113",2006,3,12,"3/12/06","20:38:00",3,"MO",29,35,0,0,0,0,0,39.05,-93.08,39.12,-92.95,6.4,100,1,1,1,195,0,0,0,0
"48307","114",2006,3,12,"3/12/06","20:40:00",3,"MO",29,36,2,4,0,2,0,38.6,-93.67,38.73,-93.5,12.8,200,1,1,1,101,159,0,0,0
"48308","115",2006,3,12,"3/12/06","20:47:00",3,"MO",29,37,2,7,1,1.65,0,37.67,-94.25,37.95,-93.67,38,300,1,1,1,217,39,185,0,0
"48309","116",2006,3,12,"3/12/06","20:57:00",3,"IL",17,15,2,0,0,0,0,39.93,-89.32,39.98,-89.32,2.5,400,1,1,1,107,0,0,0,0
"48310","117",2006,3,12,"3/12/06","21:00:00",3,"IL",17,16,2,0,0,0,0,39.93,-89.28,39.97,-89.28,3.5,200,1,1,1,107,0,0,0,0
"48311","118",2006,3,12,"3/12/06","21:02:00",3,"MO",29,38,0,0,0,0.01,0,40.45,-92.05,40.45,-91.93,6,8,1,1,1,199,45,0,0,0
"48312","119",2006,3,12,"3/12/06","21:03:00",3,"IL",17,17,1,0,0,0,0,39.9,-89.25,39.98,-89.12,10,400,1,1,1,107,115,0,0,0
"48313","120",2006,3,12,"3/12/06","21:09:00",3,"OK",40,2,3,8,0,3.05,0,36.1,-95.1,36.3,-94.63,29,440,1,1,1,21,41,0,0,0
"48314","121",2006,3,12,"3/12/06","21:16:00",3,"IL",17,18,1,0,0,0,0,39.93,-89.07,40.05,-89.02,8,600,1,1,1,115,39,0,0,0
"48315","123",2006,3,12,"3/12/06","21:18:00",3,"MO",29,40,3,26,4,5,0,39.32,-92.48,39.45,-92.18,19.7,300,1,1,1,175,137,0,0,0
"48316","122",2006,3,12,"3/12/06","21:18:00",3,"MO",29,39,0,0,0,0,0,37.42,-94.3,37.87,-93.47,57,50,1,1,1,11,57,39,167,0
"48317","124",2006,3,12,"3/12/06","21:25:00",3,"MO",29,41,1,1,0,0.2,0,36.78,-94.47,36.87,-94.38,7,75,1,1,1,145,0,0,0,0
"48318","125",2006,3,12,"3/12/06","21:36:00",3,"MO",29,42,0,0,0,0.01,0,36.87,-94.37,36.87,-94.37,0.1,15,1,1,1,145,0,0,0,0
"48319","126",2006,3,12,"3/12/06","21:37:00",3,"OK",40,3,3,12,0,5.75,0,36.23,-94.65,36.33,-94.27,25,700,2,0,1,0,0,0,0,0
"48320","127",2006,3,12,"3/12/06","21:43:00",3,"MO",29,43,4,0,0,0,0,39.45,-92.18,39.65,-91.73,29,500,1,1,1,137,0,0,0,0
"48321","128",2006,3,12,"3/12/06","22:11:00",3,"AR",5,10,2,0,0,10,0,36.35,-94.23,36.38,-94.07,8,250,1,1,1,7,0,0,0,0
"48322","129",2006,3,12,"3/12/06","22:15:00",3,"MO",29,44,3,8,1,55.65,0,36.98,-93.8,37.08,-93.35,42,250,1,1,1,109,43,77,0,0
"48323","130",2006,3,12,"3/12/06","22:17:00",3,"MO",29,45,3,19,0,1,0,37.85,-93.43,37.98,-93.17,17,200,1,1,1,85,0,0,0,0
"48324","131",2006,3,12,"3/12/06","22:20:00",3,"MO",29,46,2,5,0,0.85,0,38.28,-92.85,38.28,-92.85,6,100,1,1,1,141,0,0,0,0
"48325","132",2006,3,12,"3/12/06","22:50:00",3,"AR",5,11,1,0,0,0.04,0,36.48,-93.62,36.53,-93.45,8,200,2,0,1,0,0,0,0,0
"48326","133",2006,3,12,"3/12/06","22:56:00",3,"IL",17,19,0,0,0,0,0,40.45,-88.25,40.47,-88.23,2,30,1,1,1,53,0,0,0,0
"48327","134",2006,3,12,"3/12/06","23:03:00",3,"MO",29,48,2,13,0,0.7,0,37.2,-93,37.27,-92.87,7,150,1,1,1,225,0,0,0,0
"48328","135",2006,3,12,"3/12/06","23:15:00",3,"MO",29,49,3,0,0,0.53,0,37.25,-92.87,37.52,-92.4,32,200,1,1,1,225,229,105,0,0
"48329","136",2006,3,12,"3/12/06","23:25:00",3,"MO",29,50,0,0,0,0.05,0,38.47,-93.23,38.48,-93.2,3,20,1,1,1,15,0,0,0,0
"48330","137",2006,3,12,"3/12/06","23:30:00",3,"MO",29,51,1,0,0,0,0,38.6,-91.98,38.72,-91.65,14,150,1,1,1,27,151,27,0,0
"48331","138",2006,3,12,"3/12/06","23:31:00",3,"MO",29,52,0,0,0,0,0,38.58,-93.08,38.63,-92.98,6,100,1,1,1,141,0,0,0,0
"48332","139",2006,3,12,"3/12/06","23:43:00",3,"MO",29,53,0,0,0,0,0,38.7,-91.65,38.73,-91.62,6.2,200,1,1,1,151,27,139,0,0
"48333","140",2006,3,13,"3/13/06","0:00:00",3,"MO",29,54,3,1,0,0.8,0,38.85,-91.32,38.93,-91.2,6,300,1,1,1,139,219,0,0,0
"48334","141",2006,3,13,"3/13/06","0:30:00",3,"MO",29,55,2,2,0,0,0,38.77,-92.07,38.85,-91.88,13,100,1,1,1,27,0,0,0,0
"48335","142",2006,3,13,"3/13/06","1:20:00",3,"MO",29,56,3,6,0,2.7,0,39.05,-91.37,39.3,-90.67,44.5,300,2,0,1,0,0,0,0,0
"48336","143",2006,3,13,"3/13/06","1:36:00",3,"MO",29,57,1,0,0,0,0,39.1,-91.08,39.1,-91.08,0.2,75,1,1,1,113,0,0,0,0
"48337","144",2006,3,13,"3/13/06","13:50:00",3,"MS",28,4,0,0,0,0,0,33.58,-89.62,33.6,-89.58,1.5,50,1,1,1,97,0,0,0,0
"48338","145",2006,3,13,"3/13/06","14:18:00",3,"MS",28,5,0,0,0,0,0,33.63,-89.3,33.63,-89.28,1,30,1,1,1,155,0,0,0,0
"48339","146",2006,3,13,"3/13/06","14:26:00",3,"MS",28,6,0,0,0,0.01,0,33.65,-89.15,33.65,-89.13,1,30,1,1,1,155,0,0,0,0
"48340","147",2006,3,13,"3/13/06","15:15:00",3,"MS",28,7,0,0,0,0,0,33.73,-88.72,33.73,-88.72,1,30,1,1,1,25,0,0,0,0
"48341","148",2006,3,13,"3/13/06","16:04:00",3,"AL",1,7,0,0,0,0.01,0,33.85,-88.18,33.85,-88.18,0.1,25,1,1,1,75,0,0,0,0
"48342","149",2006,3,13,"3/13/06","16:45:00",3,"AL",1,8,0,0,0,0.03,0,33.9,-87.83,33.9,-87.83,1.1,50,1,1,1,57,0,0,0,0
"48343","150",2006,3,13,"3/13/06","16:55:00",3,"AL",1,9,1,0,0,0.01,0,33.88,-87.78,33.9,-87.68,1.6,50,1,1,1,57,0,0,0,0
