"","om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
"61092","2017-00001",2017,1,2,"1/2/17","9:03:00",3,"TX",48,0,1,0,0,30000,0,31.0707,-94.021,31.087,-93.9824,2.55,100,1,1,1,241,0,0,0,0
"61093","2017-00002",2017,1,2,"1/2/17","9:44:00",3,"TX",48,0,1,0,0,30000,0,30.5821,-93.758,30.6012,-93.7209,2.57,100,1,1,1,351,0,0,0,0
"61094","2017-00003",2017,1,2,"1/2/17","10:06:00",3,"LA",22,0,1,0,0,25000,0,30.5732,-93.5343,30.5725,-93.5294,0.3,20,1,1,1,11,0,0,0,0
"61095","2017-00004",2017,1,2,"1/2/17","10:17:00",3,"LA",22,0,1,0,0,50000,0,30.5618,-93.4362,30.5638,-93.4161,1.2,50,1,1,1,11,0,0,0,0
"61096","2017-00005",2017,1,2,"1/2/17","10:30:00",3,"LA",22,0,1,0,0,20000,0,30.5567,-93.3157,30.556,-93.2378,4.64,100,1,1,1,11,0,0,0,0
"61097","2017-00006",2017,1,2,"1/2/17","10:30:00",3,"LA",22,0,1,0,0,150000,0,30.4543,-93.2502,30.461,-93.2049,2.74,100,1,1,1,11,0,0,0,0
"61098","2017-00007",2017,1,2,"1/2/17","11:06:00",3,"LA",22,0,1,0,0,50000,0,31.3704,-92.5896,31.3727,-92.5808,0.54,50,1,1,1,79,0,0,0,0
"61099","2017-00008",2017,1,2,"1/2/17","11:30:00",3,"LA",22,0,0,0,0,75000,0,30.6231,-92.4694,30.6234,-92.4604,0.54,25,1,1,1,39,0,0,0,0
"61100","2017-00009",2017,1,2,"1/2/17","11:31:00",3,"LA",22,0,1,0,0,250000,0,31.0325,-92.3705,31.0334,-92.3468,1.4,100,1,1,1,79,0,0,0,0
"61101","2017-00010",2017,1,2,"1/2/17","11:44:00",3,"LA",22,0,1,0,0,1e+06,0,30.9446,-92.1952,30.962,-92.1764,1.64,200,1,1,1,9,0,0,0,0
"61102","2017-00011",2017,1,2,"1/2/17","11:47:00",3,"LA",22,0,1,0,0,1e+06,0,31.0602,-92.1408,31.0748,-92.096,2.84,200,1,1,1,9,0,0,0,0
"61103","2017-00012",2017,1,2,"1/2/17","11:51:00",3,"LA",22,0,1,0,0,2500000,0,31.0967,-92.0663,31.0967,-92.0485,1.05,200,1,1,1,9,0,0,0,0
"61104","2017-00013",2017,1,2,"1/2/17","13:02:00",3,"MS",28,0,0,0,0,50000,0,31.6671,-90.9352,31.6998,-90.8813,3.89,250,1,1,1,63,0,0,0,0
"61105","2017-00014",2017,1,2,"1/2/17","13:14:00",3,"MS",28,0,1,0,0,40000,0,31.8337,-90.8228,31.8654,-90.7352,5.59,200,1,1,1,21,0,0,0,0
"61106","2017-00015",2017,1,2,"1/2/17","13:21:00",3,"MS",28,0,1,0,0,425000,0,31.6904,-90.5888,31.7354,-90.4858,6.81,300,1,1,1,85,29,0,0,0
"61107","2017-00016",2017,1,2,"1/2/17","13:45:00",3,"LA",22,0,1,0,0,0,0,30.9533,-90.4358,30.9535,-90.4344,0.08,75,1,1,1,105,0,0,0,0
"61108","2017-00017",2017,1,2,"1/2/17","13:55:00",3,"MS",28,0,1,0,0,0,0,31.0883,-90.3515,31.1025,-90.2867,3.96,100,1,1,1,113,0,0,0,0
