"","om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
"49297","1",2007,1,4,"1/4/07","15:45:00",3,"LA",22,1,1,15,2,1.5,0,29.92,-91.8,30.05,-91.73,15.07,100,1,1,1,45,0,0,0,0
"49298","2",2007,1,4,"1/4/07","16:35:00",3,"LA",22,2,1,0,0,0.5,0,30.6,-91.45,30.62,-91.47,1.83,75,1,1,1,77,0,0,0,0
"49299","3",2007,1,5,"1/5/07","0:27:00",3,"MS",28,1,1,0,0,0.075,0,31.73,-89.29,31.74,-89.28,1.2,100,1,1,1,67,0,0,0,0
"49300","4",2007,1,5,"1/5/07","0:40:00",3,"MS",28,2,0,0,0,0.05,0,30.85,-89.13,30.85,-89.13,0.36,50,1,1,1,131,0,0,0,0
"49301","5",2007,1,5,"1/5/07","0:57:00",3,"MS",28,3,1,0,0,2.2,0,32.54,-89.27,32.59,-89.25,5.3,300,1,1,1,101,99,0,0,0
"49302","6",2007,1,5,"1/5/07","1:07:00",3,"MS",28,4,1,0,0,0.2,0,32.62,-89.23,32.65,-89.2,3,400,1,1,1,99,0,0,0,0
"49303","7",2007,1,5,"1/5/07","1:25:00",3,"MS",28,5,2,0,0,0.15,0,32.72,-89.03,32.73,-89.01,1.4,150,1,1,1,99,0,0,0,0
"49304","8",2007,1,5,"1/5/07","1:40:00",3,"MS",28,6,2,9,0,0.6,0,32.61,-88.7,32.65,-88.69,2.24,250,1,1,1,69,0,0,0,0
"49305","9",2007,1,5,"1/5/07","2:05:00",3,"MS",28,7,1,0,0,0.02,0,33,-88.66,33.01,-88.63,3.7,300,1,1,1,103,0,0,0,0
"49306","10",2007,1,5,"1/5/07","9:05:00",3,"GA",13,1,1,0,0,0.25,0,33.36,-84.9,33.42,-84.84,5.39,200,1,1,1,77,0,0,0,0
"49307","11",2007,1,5,"1/5/07","10:00:00",3,"GA",13,2,0,0,0,0.045,0,33.27,-84.56,33.29,-84.55,1.68,200,1,1,1,77,0,0,0,0
"49308","12",2007,1,5,"1/5/07","13:24:00",3,"SC",45,1,1,15,0,0.05,0,34.78,-82.68,34.78,-82.68,0.1,20,1,1,1,77,0,0,0,0
"49309","13",2007,1,5,"1/5/07","14:11:00",3,"SC",45,2,0,0,0,0.01,0,34.86,-82.03,34.86,-82.03,0.25,50,1,1,1,83,0,0,0,0
"49310","14",2007,1,5,"1/5/07","15:39:00",3,"NC",37,1,0,0,0,0.02,0,35.24,-81.1,35.24,-81.1,0.25,20,1,1,1,71,0,0,0,0
"49311","15",2007,1,5,"1/5/07","16:10:00",3,"GA",13,3,0,0,0,0.02,0,31.32,-82.47,31.34,-82.47,2,100,1,1,1,299,0,0,0,0
"49312","16",2007,1,7,"1/7/07","16:10:00",3,"AL",1,1,1,0,0,0.1,0,32.68,-85.8,32.68,-85.78,1,50,1,1,1,123,0,0,0,0
"49313","17",2007,1,7,"1/7/07","17:39:00",3,"GA",13,4,2,0,0,0.35,0,33.29,-84.9,33.3,-84.83,4.11,200,1,1,1,77,0,0,0,0
"49314","18",2007,1,7,"1/7/07","19:50:00",3,"AL",1,2,0,0,0,0.025,0,31.49,-85.7,31.49,-85.69,0.5,50,1,1,1,45,0,0,0,0
"49315","19",2007,1,7,"1/7/07","20:29:00",3,"AL",1,3,1,0,0,0.25,0,31.76,-85.17,31.78,-85.15,2.69,200,1,1,1,5,0,0,0,0
"49316","20",2007,1,12,"1/12/07","16:35:00",3,"TX",48,1,0,0,0,0.04,0,31.19,-97.31,31.2,-97.33,1.47,35,1,1,1,27,0,0,0,0
"49317","21",2007,1,13,"1/13/07","7:08:00",3,"TX",48,2,1,0,0,0.05,0,29.87,-97.93,29.88,-97.92,0.75,200,1,1,1,209,0,0,0,0
"49318","22",2007,2,2,"2/2/07","2:10:00",3,"FL",12,1,3,25,8,114,0,28.88,-82.05,28.92,-81.78,16.17,450,1,1,1,119,69,0,0,0
"49319","23",2007,2,2,"2/2/07","2:37:00",3,"FL",12,2,3,51,13,98,0,28.96,-81.59,29.04,-81.16,26.03,450,1,1,1,69,127,0,0,0
"49320","24",2007,2,2,"2/2/07","3:22:00",3,"FL",12,3,1,0,0,6,0,29.06,-80.99,29.07,-80.94,3.1,100,1,1,1,127,0,0,0,0
"49321","25",2007,2,2,"2/2/07","7:00:00",3,"FL",12,4,0,0,0,0.002,0.002,27.73,-81.53,27.73,-81.53,0.5,50,1,1,1,105,0,0,0,0
"49322","26",2007,2,13,"2/13/07","0:10:00",3,"LA",22,3,1,0,0,0.25,0,30.11,-92.02,30.14,-92.01,2.16,50,1,1,1,55,0,0,0,0
"49323","27",2007,2,13,"2/13/07","0:36:00",3,"LA",22,4,2,3,0,1.5,0,30.23,-91.86,30.28,-91.81,4.31,300,1,1,1,99,0,0,0,0
"49324","28",2007,2,13,"2/13/07","1:03:00",3,"LA",22,5,0,0,0,0.03,0,29.99,-91.76,29.99,-91.76,0.46,25,1,1,1,45,0,0,0,0
"49325","29",2007,2,13,"2/13/07","1:25:00",3,"LA",22,6,0,0,0,0.04,0,30.03,-92.04,30.04,-92.03,0.46,25,1,1,1,113,0,0,0,0
"49326","30",2007,2,13,"2/13/07","2:55:00",3,"LA",22,7,2,24,0,4,0,29.9,-90.13,29.98,-90.1,8.72,50,1,1,1,51,71,0,0,0
"49327","31",2007,2,13,"2/13/07","3:10:00",3,"LA",22,8,2,10,1,1,0,30.01,-90.05,30.02,-90.03,1.29,50,1,1,1,71,0,0,0,0
"49328","32",2007,2,13,"2/13/07","3:52:00",3,"MS",28,8,1,0,0,0.3,0,32.14,-89.51,32.15,-89.45,3.71,75,1,1,1,129,0,0,0,0
"49329","33",2007,2,13,"2/13/07","4:13:00",3,"MS",28,9,0,0,0,0.005,0,31.42,-89.85,31.45,-89.81,3,75,1,1,1,65,0,0,0,0
"49330","34",2007,2,13,"2/13/07","4:45:00",3,"MS",28,10,0,0,0,0.002,0,30.78,-89.47,30.78,-89.47,0.3,25,1,1,1,109,0,0,0,0
"49331","35",2007,2,13,"2/13/07","7:20:00",3,"MS",28,11,0,0,0,0,0,30.45,-88.74,30.45,-88.74,0.3,25,1,1,1,59,0,0,0,0
"49332","36",2007,2,13,"2/13/07","14:05:00",3,"FL",12,5,1,0,0,0.015,0,30.41,-84.8,30.41,-84.8,0.25,50,1,1,1,77,0,0,0,0
