"","om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
"60116","2016-00001",2016,1,6,"1/6/16","10:50:00",3,"CA",6,0,0,0,0,0,75000,36.9381,-121.3815,36.9402,-121.3708,0.61,20,1,1,1,69,0,0,0,0
"60117","2016-00002",2016,1,8,"1/8/16","5:30:00",3,"FL",12,0,0,0,0,2000,0,24.7315,-81.0139,24.7324,-81.0128,0.09,20,1,1,1,87,0,0,0,0
"60118","2016-00003",2016,1,9,"1/9/16","17:45:00",3,"FL",12,0,2,3,0,2e+06,0,26.57,-82.037,26.575,-81.983,3.35,182,1,1,1,71,0,0,0,0
"60119","2016-00004",2016,1,15,"1/15/16","10:10:00",3,"FL",12,0,1,0,0,2e+05,0,26.5503,-81.9126,26.552,-81.9102,0.19,45,1,1,1,71,0,0,0,0
"60120","2016-00005",2016,1,17,"1/17/16","2:10:00",3,"FL",12,0,2,2,0,1.2e+07,0,27.253,-82.5396,27.2663,-82.5284,1.15,350,1,1,1,115,0,0,0,0
"60121","2016-00006",2016,1,17,"1/17/16","2:35:00",3,"FL",12,0,2,4,2,150000,0,27.538,-82.219,27.642,-82.126,9.2,300,1,1,1,81,0,0,0,0
"60122","2016-00007",2016,1,17,"1/17/16","6:13:00",3,"FL",12,0,1,0,0,1e+05,0,27.0873,-80.1497,27.0963,-80.1416,0.8,75,1,1,1,85,0,0,0,0
"60123","2016-00008",2016,1,21,"1/21/16","16:14:00",3,"MS",28,0,0,0,0,17000,0,31.9388,-90.2981,31.9662,-90.2578,3.03,50,1,1,1,29,0,0,0,0
"60124","2016-00009",2016,1,21,"1/21/16","16:25:00",3,"MS",28,0,1,0,0,165000,0,31.6919,-90.5363,31.7334,-90.4597,5.34,200,1,1,1,85,29,0,0,0
"60125","2016-00010",2016,1,21,"1/21/16","17:20:00",3,"MS",28,0,1,0,0,17000,0,31.8656,-90.0125,31.8835,-89.9496,3.89,300,1,1,1,127,0,0,0,0
"60126","2016-00011",2016,1,21,"1/21/16","17:46:00",3,"MS",28,0,0,0,0,9000,0,32.2624,-89.5387,32.2645,-89.503,2.09,75,1,1,1,123,0,0,0,0
"60127","2016-00012",2016,1,21,"1/21/16","17:58:00",3,"LA",22,0,1,0,0,0,0,30.8872,-90.5192,30.8875,-90.5186,0.24,50,1,1,1,105,0,0,0,0
"60128","2016-00013",2016,1,21,"1/21/16","18:49:00",3,"MS",28,0,2,0,0,65000,0,31.3241,-89.6506,31.3425,-89.5432,6.46,530,1,1,1,73,0,0,0,0
"60129","2016-00014",2016,1,22,"1/22/16","1:44:00",3,"FL",12,0,0,0,0,0,0,30.8969,-86.1972,30.9335,-86.1691,3.03,50,1,1,1,131,0,0,0,0
"60130","2016-00015",2016,1,22,"1/22/16","3:49:00",3,"FL",12,0,0,0,0,0,0,30.3563,-85.3032,30.3698,-85.2913,1.17,50,1,1,1,13,0,0,0,0
"60131","2016-00016",2016,1,27,"1/27/16","8:30:00",3,"FL",12,0,1,2,0,850000,0,26.2349,-80.1809,26.2601,-80.1568,2.29,35,1,1,1,11,0,0,0,0
"60132","2016-00017",2016,1,28,"1/28/16","9:32:00",3,"FL",12,0,0,0,0,0,0,26.4568,-80.1025,26.5453,-80.0434,7.12,10,1,1,1,99,0,0,0,0
"60133","2016-00018",2016,2,2,"2/2/16","14:48:00",3,"MS",28,0,1,0,0,120000,0,32.2441,-89.157,32.3041,-89.0577,7.13,150,1,1,1,101,0,0,0,0
"60134","2016-00019",2016,2,2,"2/2/16","15:19:00",3,"MS",28,0,2,0,0,1485000,0,32.4685,-88.8749,32.7072,-88.6457,21.23,880,1,1,1,75,69,0,0,0
"60135","2016-00020",2016,2,2,"2/2/16","15:53:00",3,"MS",28,0,2,0,0,270000,0,32.7303,-88.5776,32.9446,-88.3861,18.52,300,1,1,1,69,103,0,0,0
"60136","2016-00021",2016,2,2,"2/2/16","16:34:00",3,"AL",1,0,2,1,0,0,0,33.0273,-88.3177,33.3401,-88.0636,26.2,1200,1,1,1,107,0,0,0,0
"60137","2016-00022",2016,2,2,"2/2/16","16:55:00",3,"TN",47,0,1,1,0,150000,0,35.7673,-89.1677,35.801,-89.1456,2.64,100,1,1,1,33,0,0,0,0
