"","om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
"42806","1",2002,1,2,"1/2/02","14:40:00",3,"FL",12,1,1,0,0,0.05,0,25.47,-80.63,25.47,-80.47,10,50,1,1,1,86,0,0,0,0
"42807","3",2002,1,6,"1/6/02","15:02:00",3,"MD",24,1,0,0,0,0.02,0,38.15,-75.95,38.17,-75.93,1,100,1,1,1,39,0,0,0,0
"42808","2",2002,1,23,"1/23/02","22:27:00",3,"KY",21,1,2,0,0,1,0,37.53,-87.27,37.53,-87.27,1.8,500,1,1,1,149,0,0,0,0
"42809","10",2002,2,7,"2/7/02","11:45:00",3,"ID",19,1,0,0,0,0,0,43.87,-116.5,43.87,-116.5,0.1,20,1,1,1,45,0,0,0,0
"42810","4",2002,2,19,"2/19/02","21:30:00",3,"MS",28,1,1,0,0,0.15,0,32.85,-90.42,32.85,-90.42,0.8,250,1,1,1,163,0,0,0,0
"42811","465",2002,3,15,"3/15/02","19:03:00",3,"MS",28,2,1,0,0,3.25,0,31.73,-89.17,31.72,-89.15,1,300,1,1,1,67,0,0,0,0
"42812","466",2002,3,16,"3/16/02","5:10:00",3,"MS",28,3,1,0,0,1.4,0,32.18,-90.32,32.22,-90.28,2,300,1,1,1,49,0,0,0,0
"42813","470",2002,3,19,"3/19/02","13:31:00",3,"TX",48,4,1,0,0,0.002,0,31.4,-100.35,31.37,-100.33,3,50,1,1,1,451,0,0,0,0
"42814","471",2002,3,19,"3/19/02","14:00:00",3,"TX",48,5,1,0,0,0.01,0,31.43,-100.3,31.48,-100.25,4,50,1,1,1,451,0,0,0,0
"42815","472",2002,3,19,"3/19/02","14:13:00",3,"TX",48,6,0,0,0,0,0,31.68,-99.95,31.68,-99.95,0.2,20,1,1,1,399,0,0,0,0
"42816","479",2002,3,19,"3/19/02","15:20:00",3,"TX",48,7,0,0,0,0,0,29.8,-101.17,29.8,-101.17,0.2,30,1,1,1,465,0,0,0,0
"42817","480",2002,3,19,"3/19/02","15:45:00",3,"TX",48,8,0,0,0,0,0,29.53,-101.05,29.53,-101.05,0.2,30,1,1,1,465,0,0,0,0
"42818","18",2002,3,19,"3/19/02","16:04:00",3,"TX",48,1,0,0,0,0,0,29.13,-100.47,29.13,-100.47,0.2,100,1,1,1,271,0,0,0,0
"42819","481",2002,3,19,"3/19/02","16:10:00",3,"TX",48,9,0,0,0,0,0,29.6,-100.9,29.6,-100.9,0.2,30,1,1,1,465,0,0,0,0
"42820","19",2002,3,19,"3/19/02","18:50:00",3,"TX",48,2,0,0,0,0,0,29.35,-99.5,29.37,-99.47,2,50,1,1,1,463,0,0,0,0
"42821","20",2002,3,19,"3/19/02","19:10:00",3,"TX",48,3,1,0,0,0,0,29.27,-98.87,29.27,-98.87,0.3,50,1,1,1,325,0,0,0,0
