"","om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
"40516","14",2000,1,3,"1/3/00","6:22:00",3,"AR",5,1,1,0,0,0,0,36.22,-92.18,36.27,-92.1,4.8,40,1,1,1,5,65,0,0,0
"40517","15",2000,1,3,"1/3/00","6:46:00",3,"AR",5,2,1,0,0,0,0,36.22,-91.83,36.23,-91.8,1.8,40,1,1,1,65,0,0,0,0
"40518","16",2000,1,3,"1/3/00","6:50:00",3,"AR",5,3,1,0,0,0,0,36.27,-91.7,36.28,-91.67,2,40,1,1,1,49,0,0,0,0
"40519","17",2000,1,3,"1/3/00","6:55:00",3,"AR",5,4,1,0,0,0,0,36.47,-91.65,36.48,-91.6,3.1,40,1,1,1,49,0,0,0,0
"40520","8",2000,1,3,"1/3/00","12:15:00",3,"MS",28,1,1,0,0,0.04,0,33.63,-90.37,33.67,-90.33,3,150,1,1,1,83,0,0,0,0
"40521","6",2000,1,3,"1/3/00","13:05:00",3,"IN",18,1,1,0,0,0.05,0,38.47,-86.18,38.47,-86.18,0.3,50,1,1,1,175,0,0,0,0
"40522","626",2000,1,3,"1/3/00","13:30:00",3,"MS",28,2,3,0,0,0.45,0,34.17,-89.55,34.6,-89.08,43.2,500,1,1,1,161,71,145,0,0
"40523","628",2000,1,3,"1/3/00","15:08:00",3,"KY",21,1,3,3,0,7.4,0,37.27,-88.08,37.48,-87.73,24,440,1,1,1,55,233,0,0,0
"40524","19",2000,1,3,"1/3/00","16:06:00",3,"KY",21,2,3,18,0,64,0,37.72,-87.18,37.77,-87.12,7,880,1,1,1,59,0,0,0,0
"40525","9",2000,1,3,"1/3/00","17:29:00",3,"MS",28,3,2,0,0,0.17,0,32.18,-89.15,32.22,-89.05,6,210,1,1,1,61,101,0,0,0
"40526","22",2000,1,3,"1/3/00","18:21:00",3,"MS",28,4,0,0,0,0.001,0,31.1,-91.27,31.1,-91.27,0.1,20,1,1,1,157,0,0,0,0
"40527","4",2000,1,9,"1/9/00","15:56:00",3,"AL",1,1,0,1,0,0.02,0,32.3,-86.33,32.3,-86.33,0.1,20,1,1,1,101,0,0,0,0
"40528","5",2000,1,9,"1/9/00","16:22:00",3,"AL",1,2,0,0,0,0,0,32.05,-85.52,32.05,-85.48,1,30,1,1,1,11,0,0,0,0
"40529","3",2000,1,9,"1/9/00","23:05:00",3,"AL",1,3,1,0,0,0.5,0,32.05,-87.78,32.05,-87.7,6.5,300,1,1,1,91,0,0,0,0
"40530","12",2000,1,16,"1/16/00","11:00:00",3,"WA",53,1,1,0,0,0.1,0,46.32,-118,46.32,-117.98,1,50,1,1,1,13,0,0,0,0
"40531","18",2000,1,24,"1/24/00","2:29:00",3,"FL",12,1,1,0,0,0.5,0,26.43,-81.63,26.43,-81.6,2.5,70,1,1,1,71,0,0,0,0
"40532","55",2000,2,10,"2/10/00","15:40:00",3,"NV",32,1,0,0,0,0,0,39.55,-119.77,39.55,-119.77,0.5,10,1,1,1,31,0,0,0,0
"40533","38",2000,2,13,"2/13/00","15:00:00",3,"AL",1,4,1,0,0,0.1,0,32.08,-86.3,32.2,-86.17,11.4,300,1,1,1,101,0,0,0,0
"40534","641",2000,2,13,"2/13/00","15:30:00",3,"AL",1,5,0,0,0,0.02,0,32.18,-86.02,32.22,-85.97,3,100,1,1,1,101,11,0,0,0
"40535","39",2000,2,13,"2/13/00","15:42:00",3,"AL",1,6,0,0,0,0.01,0,32.23,-85.88,32.25,-85.87,1,50,1,1,1,11,0,0,0,0
"40536","40",2000,2,13,"2/13/00","16:52:00",3,"AR",5,37,0,0,0,0,0,34.97,-92.45,34.97,-92.42,2.2,40,1,1,1,45,0,0,0,0
"40537","41",2000,2,13,"2/13/00","17:38:00",3,"AR",5,5,2,2,0,0,0,34.88,-91.98,34.82,-91.43,32.7,100,1,1,1,85,117,0,0,0
"40538","54",2000,2,13,"2/13/00","18:04:00",3,"TN",47,1,1,1,0,0.5,0,36.15,-86.87,36.15,-86.8,4.3,200,1,1,1,37,0,0,0,0
"40539","632",2000,2,13,"2/13/00","20:15:00",3,"FL",12,2,1,0,0,0.3,0,30.47,-85.62,30.47,-85.62,0.5,50,1,1,1,133,0,0,0,0
"40540","631",2000,2,13,"2/13/00","20:18:00",3,"FL",12,3,1,0,0,0.75,0,30.5,-85.53,30.5,-85.53,0.5,50,1,1,1,133,0,0,0,0
"40541","633",2000,2,13,"2/13/00","22:19:00",3,"GA",13,1,1,1,0,1,0,31.05,-84.38,31.05,-84.38,0.2,50,1,1,1,87,0,0,0,0
"40542","634",2000,2,13,"2/13/00","22:42:00",3,"GA",13,2,3,175,11,20,0,31.17,-84.27,31.23,-84.12,9.2,300,1,1,1,205,0,0,0,0
"40543","635",2000,2,13,"2/13/00","23:49:00",3,"GA",13,3,3,15,7,5,0,31.02,-84.2,31.07,-84.02,15,300,1,1,1,131,275,205,0,0
"40544","636",2000,2,14,"2/14/00","0:21:00",3,"GA",13,4,1,0,0,0.07,0,31.18,-83.85,31.23,-83.8,2,50,1,1,1,71,0,0,0,0
"40545","637",2000,2,14,"2/14/00","0:39:00",3,"GA",13,5,2,0,1,2.5,0,31.32,-83.63,31.35,-83.58,6,200,1,1,1,71,277,0,0,0
"40546","29",2000,2,14,"2/14/00","1:30:00",3,"GA",13,6,0,0,0,0,0,31.27,-83.47,31.27,-83.47,0,0,1,1,1,75,0,0,0,0
"40547","1",2000,2,14,"2/14/00","4:10:00",3,"SC",45,1,0,0,0,0,0,33.48,-81.72,33.48,-81.68,0.2,50,1,1,1,3,0,0,0,0
