"","om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
"45114","2",2004,1,16,"1/16/04","17:10:00",3,"TX",48,1,0,0,0,0.01,0,31.98,-99.63,31.98,-99.63,0.5,75,1,1,1,83,0,0,0,0
"45115","1",2004,1,25,"1/25/04","6:47:00",3,"LA",22,1,2,3,0,1,0,30.15,-92.1,30.15,-92.08,1,10,1,1,1,55,0,0,0,0
"45116","725",2004,1,25,"1/25/04","17:45:00",3,"HI",15,1,0,0,0,0,0,21.42,-158.03,21.42,-158.03,1,25,1,1,1,3,0,0,0,0
"45117","9",2004,2,2,"2/2/04","17:00:00",3,"CA",6,1,0,0,0,0,0,35.1,-120.63,35.1,-120.63,0.5,5,1,1,1,79,0,0,0,0
"45118","730",2004,2,5,"2/5/04","10:26:00",3,"MS",28,1,2,0,0,0.26,0,31.98,-90.1,32.08,-89.97,10,300,1,1,1,127,121,0,0,0
"45119","731",2004,2,5,"2/5/04","13:20:00",3,"MS",28,2,1,0,0,0.03,0,32.23,-89.13,32.28,-89.02,8,200,1,1,1,101,0,0,0,0
"45120","732",2004,2,5,"2/5/04","16:15:00",3,"MS",28,3,1,0,0,0.08,0,32.52,-88.87,32.53,-88.85,1.5,100,1,1,1,75,0,0,0,0
"45121","6",2004,2,6,"2/6/04","15:40:00",3,"GA",13,1,0,0,0,0.01,0,32.08,-82.12,32.08,-82.12,0.3,100,1,1,1,267,0,0,0,0
"45122","723",2004,2,7,"2/7/04","20:40:00",3,"HI",15,2,0,0,0,0,0,21.38,-158.92,21.38,-158.92,1,15,1,1,1,3,0,0,0,0
"45123","4",2004,2,24,"2/24/04","12:45:00",3,"FL",12,1,0,0,0,0.01,0,28.05,-81.82,28.05,-81.82,0.3,30,1,1,1,105,0,0,0,0
"45124","5",2004,2,24,"2/24/04","21:10:00",3,"TX",48,2,0,0,0,0.03,0,30.6,-96.33,30.6,-96.33,0.2,50,1,1,1,41,0,0,0,0
"45125","724",2004,2,28,"2/28/04","2:30:00",3,"HI",15,3,0,0,0,0,0,19.18,-155.47,19.42,-155.23,5,25,1,1,1,1,0,0,0,0
"45126","754",2004,3,4,"3/4/04","9:25:00",3,"TX",48,3,0,0,0,0.02,0,31.53,-101.43,31.55,-101.42,0.5,75,1,1,1,383,0,0,0,0
"45127","757",2004,3,4,"3/4/04","9:30:00",3,"TX",48,4,0,0,0,0.04,0,31.7,-101.42,31.7,-101.42,0.7,50,1,1,1,173,0,0,0,0
