"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",40,297.957,10,"minus"
"3","AR",15,46.769,0,"minus"
"4","AS",0,0,0,"plus"
"5","AZ",0,0,0,"plus"
"6","CA",6,0.178,0,"plus"
"7","CO",55,4.098,2,"plus"
"8","CT",2,0,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",49,230.772,21,"minus"
"12","GA",40,126.331,10,"minus"
"13","GU",0,0,0,"plus"
"14","HI",0,0,0,"plus"
"15","IA",42,26.524,0,"minus"
"16","ID",3,0.001,0,"plus"
"17","IL",22,0.347,0,"plus"
"18","IN",18,16.603,0,"minus"
"19","KS",140,259.887,14,"minus"
"20","KY",30,17.846,0,"minus"
"21","LA",23,10.945,3,"minus"
"22","MA",1,0,0,"plus"
"23","MD",2,0.01,0,"plus"
"24","ME",1,0,0,"plus"
"25","MI",23,85.719,3,"minus"
"26","MN",17,0.505,0,"plus"
"27","MO",42,2.133,3,"plus"
"28","MS",33,6.995,0,"plus"
"29","MT",5,0.051,0,"plus"
"30","NC",13,0.271,0,"plus"
"31","ND",38,56.005,1,"minus"
"32","NE",45,6.241,0,"plus"
"33","NH",0,0,0,"plus"
"34","NJ",0,0,0,"plus"
"35","NM",22,22.555,2,"minus"
"36","NV",0,0,0,"plus"
"37","NY",3,0.01,0,"plus"
"38","OH",12,2.575,0,"plus"
"39","OK",49,10.374,0,"minus"
"40","OR",2,0.02,0,"plus"
"41","PA",7,0.71,0,"plus"
"42","PR",1,0.035,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",18,0.44,1,"plus"
"45","SD",41,0.709,0,"plus"
"46","TN",10,4.375,0,"plus"
"47","TX",198,94.957,11,"minus"
"48","UT",1,0,0,"plus"
"49","VA",2,0.08,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",0,0,0,"plus"
"53","WI",18,15.8,0,"minus"
"54","WV",1,0.008,0,"plus"
"55","WY",5,0,0,"plus"
