"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",79,12.745,2,"minus"
"3","AR",42,142.301,3,"minus"
"4","AS",0,0,0,"plus"
"5","AZ",4,0,0,"plus"
"6","CA",2,0.1,0,"plus"
"7","CO",42,0.86,0,"plus"
"8","CT",3,0.77,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",37,6.204,0,"plus"
"12","GA",54,37.188,1,"minus"
"13","GU",0,0,0,"plus"
"14","HI",1,0,0,"plus"
"15","IA",25,1.542,0,"plus"
"16","ID",2,0,0,"plus"
"17","IL",52,25.052,0,"minus"
"18","IN",9,2.913,0,"plus"
"19","KS",103,5.376,0,"plus"
"20","KY",32,1.561,2,"plus"
"21","LA",75,20.652,0,"minus"
"22","MA",0,0,0,"plus"
"23","MD",10,0.01,0,"plus"
"24","ME",7,0,0,"plus"
"25","MI",3,0,0,"plus"
"26","MN",24,4.504,0,"plus"
"27","MO",44,18.432,3,"minus"
"28","MS",44,20.919,1,"minus"
"29","MT",4,0,0,"plus"
"30","NC",33,3.21,0,"plus"
"31","ND",30,21.482,0,"minus"
"32","NE",38,1.885,0,"plus"
"33","NH",0,0,0,"plus"
"34","NJ",1,0.875,0,"plus"
"35","NM",4,0.01,0,"plus"
"36","NV",2,0,0,"plus"
"37","NY",9,3.161,0,"plus"
"38","OH",13,0.308,0,"plus"
"39","OK",33,56.656,0,"minus"
"40","OR",4,0.2,0,"plus"
"41","PA",7,2.035,0,"plus"
"42","PR",1,0.015,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",19,9.437,0,"plus"
"45","SD",34,0.136,0,"plus"
"46","TN",46,107.809,2,"minus"
"47","TX",129,55.05,8,"minus"
"48","UT",4,0.066,0,"plus"
"49","VA",16,1.053,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",2,0.175,0,"plus"
"52","WA",6,0.21,0,"plus"
"53","WI",16,0.823,0,"plus"
"54","WV",0,0,0,"plus"
"55","WY",11,0.317,0,"plus"
