"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",55,13.648,6,"minus"
"3","AR",39,2.853,2,"plus"
"4","AS",0,0,0,"plus"
"5","AZ",3,0,0,"plus"
"6","CA",7,0.46,0,"plus"
"7","CO",46,8.28,0,"plus"
"8","CT",4,0.49,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",70,15.317,2,"minus"
"12","GA",12,4.658,0,"plus"
"13","GU",0,0,0,"plus"
"14","HI",0,0,0,"plus"
"15","IA",104,5.307,2,"plus"
"16","ID",2,0,0,"plus"
"17","IL",21,7.8,0,"plus"
"18","IN",23,25.246,2,"minus"
"19","KS",101,47.1,1,"minus"
"20","KY",6,18.27,0,"minus"
"21","LA",32,3.2,4,"plus"
"22","MA",2,0.03,0,"plus"
"23","MD",10,102.104,2,"minus"
"24","ME",2,0,0,"plus"
"25","MI",34,22.22,0,"minus"
"26","MN",73,57.882,0,"minus"
"27","MO",39,18.491,1,"minus"
"28","MS",59,77.303,12,"minus"
"29","MT",9,0,0,"plus"
"30","NC",13,0.33,0,"plus"
"31","ND",47,2.15,0,"plus"
"32","NE",62,10.424,0,"minus"
"33","NH",0,0,0,"plus"
"34","NJ",2,1.01,0,"plus"
"35","NM",5,0,0,"plus"
"36","NV",0,0,0,"plus"
"37","NY",3,0.001,0,"plus"
"38","OH",8,3.114,0,"plus"
"39","OK",60,105.749,1,"minus"
"40","OR",4,0,0,"plus"
"41","PA",12,1.25,0,"plus"
"42","PR",1,0.02,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",14,8.8,0,"plus"
"45","SD",31,0.42,0,"plus"
"46","TN",14,4.9,3,"plus"
"47","TX",137,344.925,0,"minus"
"48","UT",5,0,0,"plus"
"49","VA",13,3.442,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",2,0.1,0,"plus"
"53","WI",12,11.36,2,"minus"
"54","WV",1,0.18,0,"plus"
"55","WY",16,0,0,"plus"
