"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",1,0,0,"plus"
"2","AL",81,4.765,0,"plus"
"3","AR",69,7.62,3,"plus"
"4","AS",0,0,0,"plus"
"5","AZ",8,0.02,0,"plus"
"6","CA",30,2.035,0,"plus"
"7","CO",34,0.041,0,"plus"
"8","CT",0,0,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",56,9.843,0,"plus"
"12","GA",54,96.072,4,"minus"
"13","GU",0,0,0,"plus"
"14","HI",2,0,0,"plus"
"15","IA",44,18.199,1,"minus"
"16","ID",6,0.13,0,"plus"
"17","IL",21,0.07,0,"plus"
"18","IN",14,18.3,0,"minus"
"19","KS",136,7.604,0,"plus"
"20","KY",17,130.526,25,"minus"
"21","LA",23,6.802,0,"plus"
"22","MA",1,0,0,"plus"
"23","MD",0,0,0,"plus"
"24","ME",2,0.251,0,"plus"
"25","MI",5,0.18,0,"plus"
"26","MN",71,0.34,0,"plus"
"27","MO",39,6.59,1,"plus"
"28","MS",105,534.613,1,"minus"
"29","MT",10,0,0,"plus"
"30","NC",23,2.953,0,"plus"
"31","ND",53,0.26,0,"plus"
"32","NE",40,0.82,0,"plus"
"33","NH",0,0,0,"plus"
"34","NJ",0,0,0,"plus"
"35","NM",7,0,0,"plus"
"36","NV",1,0,0,"plus"
"37","NY",4,0.23,0,"plus"
"38","OH",4,0.23,0,"plus"
"39","OK",27,0.411,0,"plus"
"40","OR",1,0,0,"plus"
"41","PA",11,0.26,0,"plus"
"42","PR",1,0.01,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",14,2.183,0,"plus"
"45","SD",19,0.05,0,"plus"
"46","TN",23,10.343,0,"minus"
"47","TX",105,2.321,0,"plus"
"48","UT",4,0.01,0,"plus"
"49","VA",24,2.237,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",4,0.01,0,"plus"
"53","WI",63,44.009,1,"minus"
"54","WV",0,0,0,"plus"
"55","WY",6,5,2,"plus"
