"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",44,37.314,13,"minus"
"3","AR",37,1.285,0,"plus"
"4","AS",0,0,0,"plus"
"5","AZ",0,0,0,"plus"
"6","CA",9,0.07,0,"plus"
"7","CO",60,0.821,0,"plus"
"8","CT",1,0.01,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",77,7.919,0,"plus"
"12","GA",28,35.213,19,"minus"
"13","GU",0,0,0,"plus"
"14","HI",0,0,0,"plus"
"15","IA",45,4.629,1,"plus"
"16","ID",13,3.47,0,"plus"
"17","IL",55,0.881,0,"plus"
"18","IN",13,1.74,0,"plus"
"19","KS",59,76.661,0,"minus"
"20","KY",23,122.709,0,"minus"
"21","LA",43,37.654,0,"minus"
"22","MA",1,0,0,"plus"
"23","MD",8,1.042,0,"plus"
"24","ME",2,0,0,"plus"
"25","MI",4,0.07,0,"plus"
"26","MN",32,21.3,1,"minus"
"27","MO",27,5.983,0,"plus"
"28","MS",27,2.892,0,"plus"
"29","MT",10,0,0,"plus"
"30","NC",23,0.91,0,"plus"
"31","ND",28,0.16,0,"plus"
"32","NE",60,3.825,0,"plus"
"33","NH",0,0,0,"plus"
"34","NJ",0,0,0,"plus"
"35","NM",5,0,0,"plus"
"36","NV",2,0,0,"plus"
"37","NY",5,0.37,0,"plus"
"38","OH",25,21.892,1,"minus"
"39","OK",43,2.117,0,"plus"
"40","OR",3,0.13,0,"plus"
"41","PA",5,0.01,0,"plus"
"42","PR",2,0.01,0,"plus"
"43","RI",1,0,0,"plus"
"44","SC",20,0.522,1,"plus"
"45","SD",18,0.29,0,"plus"
"46","TN",27,2.192,1,"plus"
"47","TX",147,19.063,4,"minus"
"48","UT",3,0.001,0,"plus"
"49","VA",11,0.546,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",3,0.11,0,"plus"
"53","WI",18,7.99,0,"plus"
"54","WV",3,0.291,0,"plus"
"55","WY",5,0.03,0,"plus"
