"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",2,0,0,"plus"
"2","AL",55,5.8,1,"plus"
"3","AR",48,12.788,0,"minus"
"4","AS",0,0,0,"plus"
"5","AZ",3,0,0,"plus"
"6","CA",10,0.023,0,"plus"
"7","CO",84,3.056,0,"plus"
"8","CT",0,0,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",2,1,0,"plus"
"11","FL",104,15.303,6,"minus"
"12","GA",44,5.735,1,"plus"
"13","GU",0,0,0,"plus"
"14","HI",3,0,0,"plus"
"15","IA",120,5.057,0,"plus"
"16","ID",5,0.1,0,"plus"
"17","IL",80,18.87,9,"minus"
"18","IN",47,46.051,1,"minus"
"19","KS",124,29.331,0,"minus"
"20","KY",22,11.15,0,"minus"
"21","LA",28,10.334,1,"minus"
"22","MA",2,1.53,0,"plus"
"23","MD",18,1.215,0,"plus"
"24","ME",1,0,0,"plus"
"25","MI",23,0.782,0,"plus"
"26","MN",57,2.415,0,"plus"
"27","MO",71,15.01,7,"minus"
"28","MS",54,18.349,1,"minus"
"29","MT",6,0,0,"plus"
"30","NC",66,3.275,3,"plus"
"31","ND",46,2.48,0,"plus"
"32","NE",111,173.262,1,"minus"
"33","NH",1,0,0,"plus"
"34","NJ",2,0.6,0,"plus"
"35","NM",11,0,0,"plus"
"36","NV",5,0,0,"plus"
"37","NY",8,0.34,0,"plus"
"38","OH",8,0.3,0,"plus"
"39","OK",62,10.584,0,"minus"
"40","OR",6,0.001,0,"plus"
"41","PA",26,22.231,0,"minus"
"42","PR",1,0,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",85,4.128,1,"plus"
"45","SD",35,0.141,0,"plus"
"46","TN",15,2.041,0,"plus"
"47","TX",178,9.709,2,"plus"
"48","UT",0,0,0,"plus"
"49","VA",83,68.314,0,"minus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",9,0.06,0,"plus"
"53","WI",36,30.224,1,"minus"
"54","WV",4,0.31,0,"plus"
"55","WY",6,0,0,"plus"
