"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",93,28.367,6,"minus"
"3","AR",80,369.701,21,"minus"
"4","AS",0,0,0,"plus"
"5","AZ",3,0,0,"plus"
"6","CA",7,1.11,0,"plus"
"7","CO",39,147.08,1,"minus"
"8","CT",0,0,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",56,10.911,1,"minus"
"12","GA",62,171.042,5,"minus"
"13","GU",0,0,0,"plus"
"14","HI",2,0,0,"plus"
"15","IA",104,107.121,9,"minus"
"16","ID",2,0.001,0,"plus"
"17","IL",48,17.347,0,"minus"
"18","IN",30,57.603,4,"minus"
"19","KS",185,108.103,4,"minus"
"20","KY",35,41.305,7,"minus"
"21","LA",79,13.763,3,"minus"
"22","MA",0,0,0,"plus"
"23","MD",7,0.942,0,"plus"
"24","ME",0,0,0,"plus"
"25","MI",14,0.65,0,"plus"
"26","MN",42,40.03,1,"minus"
"27","MO",91,52.475,4,"minus"
"28","MS",109,247.035,3,"minus"
"29","MT",2,0,0,"plus"
"30","NC",55,22.407,3,"minus"
"31","ND",32,2.054,0,"plus"
"32","NE",57,13.368,4,"minus"
"33","NH",1,2.027,1,"plus"
"34","NJ",0,0,0,"plus"
"35","NM",11,0.012,0,"plus"
"36","NV",0,0,0,"plus"
"37","NY",2,0.045,0,"plus"
"38","OH",12,3.282,0,"plus"
"39","OK",77,64.376,21,"minus"
"40","OR",0,0,0,"plus"
"41","PA",5,2.105,0,"plus"
"42","PR",0,0,0,"plus"
"43","RI",1,0.06,0,"plus"
"44","SC",56,5.922,0,"plus"
"45","SD",26,0.21,0,"plus"
"46","TN",42,175.48,28,"minus"
"47","TX",120,56.93,0,"minus"
"48","UT",0,0,0,"plus"
"49","VA",39,45.514,0,"minus"
"50","VI",0,0,0,"plus"
"51","VT",2,0.15,0,"plus"
"52","WA",3,0.525,0,"plus"
"53","WI",38,26.728,0,"minus"
"54","WV",2,0.115,0,"plus"
"55","WY",18,0.35,0,"plus"
