"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",42,3.085,0,"plus"
"3","AR",61,2.221,0,"plus"
"4","AS",0,0,0,"plus"
"5","AZ",9,0,0,"plus"
"6","CA",0,0,0,"plus"
"7","CO",29,0.12,0,"plus"
"8","CT",0,0,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",44,90.151,1,"minus"
"12","GA",27,8.868,6,"plus"
"13","GU",0,0,0,"plus"
"14","HI",0,0,0,"plus"
"15","IA",28,7.81,0,"plus"
"16","ID",4,0,0,"plus"
"17","IL",119,51.972,2,"minus"
"18","IN",25,0.75,0,"plus"
"19","KS",92,127.32,11,"minus"
"20","KY",32,25.491,3,"minus"
"21","LA",20,4.252,0,"plus"
"22","MA",0,0,0,"plus"
"23","MD",9,1.76,0,"plus"
"24","ME",0,0,0,"plus"
"25","MI",13,2.003,0,"plus"
"26","MN",46,19.76,0,"minus"
"27","MO",80,216.368,16,"minus"
"28","MS",50,57.849,0,"minus"
"29","MT",6,0,0,"plus"
"30","NC",36,3.107,0,"plus"
"31","ND",31,0.25,0,"plus"
"32","NE",81,20.96,2,"minus"
"33","NH",0,0,0,"plus"
"34","NJ",7,2.1,1,"plus"
"35","NM",7,0.02,0,"plus"
"36","NV",3,0,0,"plus"
"37","NY",18,1.984,0,"plus"
"38","OH",13,22.551,0,"minus"
"39","OK",76,394.719,0,"minus"
"40","OR",2,0,0,"plus"
"41","PA",9,47.03,0,"minus"
"42","PR",0,0,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",18,1.132,0,"plus"
"45","SD",81,13.54,0,"minus"
"46","TN",45,111.585,12,"minus"
"47","TX",155,24.61,0,"minus"
"48","UT",1,0.002,0,"plus"
"49","VA",31,0.814,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",2,0.16,0,"plus"
"52","WA",2,0.01,0,"plus"
"53","WI",14,0.53,0,"plus"
"54","WV",2,1.5,0,"plus"
"55","WY",4,0,0,"plus"
