"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",52,1.015,2,"plus"
"3","AR",20,226.8,17,"minus"
"4","AS",0,0,0,"plus"
"5","AZ",3,0.55,0,"plus"
"6","CA",9,0,0,"plus"
"7","CO",49,0.008,0,"plus"
"8","CT",1,0.025,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",1,0.15,0,"plus"
"11","FL",28,3.124,0,"plus"
"12","GA",30,2.8385,0,"plus"
"13","GU",0,0,0,"plus"
"14","HI",0,0,0,"plus"
"15","IA",55,7.183,2,"plus"
"16","ID",3,0.001,0,"plus"
"17","IL",48,4.066,0,"plus"
"18","IN",27,2.471,0,"plus"
"19","KS",40,0.61,0,"plus"
"20","KY",26,1.444,0,"plus"
"21","LA",15,5.842,0,"plus"
"22","MA",3,4.1,0,"plus"
"23","MD",2,0,0,"plus"
"24","ME",4,0,0,"plus"
"25","MI",13,6.179,0,"plus"
"26","MN",23,0.972,0,"plus"
"27","MO",46,0.6,0,"plus"
"28","MS",40,196.9595,16,"minus"
"29","MT",8,0,0,"plus"
"30","NC",31,22.454,1,"minus"
"31","ND",14,2.5,0,"plus"
"32","NE",62,52.531,2,"minus"
"33","NH",2,0,0,"plus"
"34","NJ",0,0,0,"plus"
"35","NM",14,0.2,0,"plus"
"36","NV",6,0.002,0,"plus"
"37","NY",11,1.16,4,"plus"
"38","OH",20,2.594,0,"plus"
"39","OK",16,13.105,1,"minus"
"40","OR",0,0,0,"plus"
"41","PA",9,0.3185,0,"plus"
"42","PR",0,0,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",7,0.011,0,"plus"
"45","SD",29,5.73,0,"plus"
"46","TN",15,0.835,2,"plus"
"47","TX",46,5.5905,0,"plus"
"48","UT",0,0,0,"plus"
"49","VA",12,0.725,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",3,0.187,0,"plus"
"53","WI",21,39.003,0,"minus"
"54","WV",9,0.67,0,"plus"
"55","WY",13,0.132,0,"plus"
