"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",63,1.098,4,"plus"
"3","AR",23,4.341,0,"plus"
"4","AS",0,0,0,"plus"
"5","AZ",1,0,0,"plus"
"6","CA",4,5e-04,0,"plus"
"7","CO",39,0.2135,0,"plus"
"8","CT",1,0.015,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",45,45.695,2,"minus"
"12","GA",28,6.016,0,"plus"
"13","GU",0,0,0,"plus"
"14","HI",0,0,0,"plus"
"15","IA",45,5.3792,0,"plus"
"16","ID",2,0,0,"plus"
"17","IL",45,3.905,0,"plus"
"18","IN",42,10.7955,0,"minus"
"19","KS",102,4.132,0,"plus"
"20","KY",24,5.965,0,"plus"
"21","LA",27,0.261,2,"plus"
"22","MA",1,1,0,"plus"
"23","MD",3,0.075,0,"plus"
"24","ME",1,0,0,"plus"
"25","MI",15,5.635,0,"plus"
"26","MN",37,1.625,0,"plus"
"27","MO",18,0.352,0,"plus"
"28","MS",45,6.889,1,"plus"
"29","MT",6,1.5,0,"plus"
"30","NC",16,2.305,0,"plus"
"31","ND",22,0.8,0,"plus"
"32","NE",45,1.049,0,"plus"
"33","NH",1,0,0,"plus"
"34","NJ",2,0,0,"plus"
"35","NM",9,0,0,"plus"
"36","NV",0,0,0,"plus"
"37","NY",2,0.018,0,"plus"
"38","OH",24,1.1605,0,"plus"
"39","OK",57,15.138,2,"minus"
"40","OR",4,1,0,"plus"
"41","PA",9,8.201,0,"plus"
"42","PR",1,0.01,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",4,0.55,0,"plus"
"45","SD",13,0.135,0,"plus"
"46","TN",10,1.225,2,"plus"
"47","TX",100,16.185,1,"minus"
"48","UT",3,2.3,0,"plus"
"49","VA",9,24.482,4,"minus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",4,0.02,0,"plus"
"53","WI",16,1.555,0,"plus"
"54","WV",6,0.132,0,"plus"
"55","WY",2,0.001,0,"plus"
