"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",69,8.971,1,"plus"
"3","AR",23,101.282,2,"minus"
"4","AS",0,0,0,"plus"
"5","AZ",6,0.013,0,"plus"
"6","CA",9,0.102,0,"plus"
"7","CO",20,0.14,0,"plus"
"8","CT",0,0,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",42,61.99,0,"minus"
"12","GA",21,16.455,0,"minus"
"13","GU",0,0,0,"plus"
"14","HI",2,0,0,"plus"
"15","IA",38,12.836,1,"minus"
"16","ID",9,0.321,0,"plus"
"17","IL",119,4.105,1,"plus"
"18","IN",25,11.956,0,"minus"
"19","KS",90,3.8,0,"plus"
"20","KY",19,42.8,0,"minus"
"21","LA",41,4.456,1,"plus"
"22","MA",1,0.2,0,"plus"
"23","MD",3,7.003,0,"plus"
"24","ME",1,0.12,0,"plus"
"25","MI",10,0.66,0,"plus"
"26","MN",25,77.242,2,"minus"
"27","MO",96,92.294,11,"minus"
"28","MS",31,7.392,0,"plus"
"29","MT",1,0,0,"plus"
"30","NC",31,2.28,9,"plus"
"31","ND",21,0.241,0,"plus"
"32","NE",21,5.542,0,"plus"
"33","NH",2,0.003,0,"plus"
"34","NJ",1,0.1,0,"plus"
"35","NM",5,0,0,"plus"
"36","NV",1,0,0,"plus"
"37","NY",7,12.372,0,"minus"
"38","OH",36,55.453,0,"minus"
"39","OK",27,12.391,0,"minus"
"40","OR",4,0.02,0,"plus"
"41","PA",8,3.355,1,"plus"
"42","PR",1,0.03,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",36,2.591,0,"plus"
"45","SD",27,17.16,0,"minus"
"46","TN",25,154.397,34,"minus"
"47","TX",115,24.039,4,"minus"
"48","UT",2,0,0,"plus"
"49","VA",16,0.432,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",2,0,0,"plus"
"53","WI",13,5.014,0,"plus"
"54","WV",0,0,0,"plus"
"55","WY",1,0,0,"plus"
