"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",34,17.913,13,"minus"
"3","AR",33,0.05,1,"plus"
"4","AS",0,0,0,"plus"
"5","AZ",0,0,0,"plus"
"6","CA",3,0.53,0,"plus"
"7","CO",25,6.13,0,"plus"
"8","CT",4,0.05,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",43,3.703,0,"plus"
"12","GA",23,11.047,0,"minus"
"13","GU",0,0,0,"plus"
"14","HI",1,0.06,0,"plus"
"15","IA",31,0.076,0,"plus"
"16","ID",3,0.06,0,"plus"
"17","IL",37,16.045,4,"minus"
"18","IN",15,109.32,1,"minus"
"19","KS",96,21.874,0,"minus"
"20","KY",14,18.984,0,"minus"
"21","LA",33,17.79,2,"minus"
"22","MA",1,0.05,0,"plus"
"23","MD",14,125.82,3,"minus"
"24","ME",3,0,0,"plus"
"25","MI",11,0.792,0,"plus"
"26","MN",34,1.841,0,"plus"
"27","MO",28,52.024,4,"minus"
"28","MS",29,67.021,1,"minus"
"29","MT",11,0.26,0,"plus"
"30","NC",11,3.071,0,"plus"
"31","ND",17,0.652,0,"plus"
"32","NE",27,0.043,0,"plus"
"33","NH",0,0,0,"plus"
"34","NJ",0,0,0,"plus"
"35","NM",3,0,0,"plus"
"36","NV",1,0,0,"plus"
"37","NY",14,3.61,0,"plus"
"38","OH",24,142.371,5,"minus"
"39","OK",17,0.27,0,"plus"
"40","OR",2,0.5,0,"plus"
"41","PA",15,4.89,1,"plus"
"42","PR",1,0.01,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",12,1.022,0,"plus"
"45","SD",12,1.01,0,"plus"
"46","TN",30,17.25,17,"minus"
"47","TX",174,103.885,3,"minus"
"48","UT",4,2,0,"plus"
"49","VA",7,9.583,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",2,0.1,0,"plus"
"52","WA",0,0,0,"plus"
"53","WI",26,39.71,0,"minus"
"54","WV",1,0.1,0,"plus"
"55","WY",8,0.03,0,"plus"
