"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",55,1.594,3,"plus"
"3","AR",18,12.812,0,"minus"
"4","AS",0,0,0,"plus"
"5","AZ",1,0,0,"plus"
"6","CA",12,0.05,0,"plus"
"7","CO",33,1.16,0,"plus"
"8","CT",0,0,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",1,0.1,0,"plus"
"11","FL",48,4.131,1,"plus"
"12","GA",15,14.595,0,"minus"
"13","GU",0,0,0,"plus"
"14","HI",1,0,0,"plus"
"15","IA",16,6.36,0,"plus"
"16","ID",2,0,0,"plus"
"17","IL",30,3.274,9,"plus"
"18","IN",18,60.47,14,"minus"
"19","KS",93,500.41,1,"minus"
"20","KY",41,158.484,25,"minus"
"21","LA",45,12.054,0,"minus"
"22","MA",1,0.003,0,"plus"
"23","MD",16,0.887,0,"plus"
"24","ME",1,0,0,"plus"
"25","MI",6,12.695,0,"minus"
"26","MN",36,2.092,0,"plus"
"27","MO",29,24.835,6,"minus"
"28","MS",48,9.604,0,"plus"
"29","MT",3,0,0,"plus"
"30","NC",23,19.5505,0,"minus"
"31","ND",9,0,0,"plus"
"32","NE",43,2.699,0,"plus"
"33","NH",2,0,0,"plus"
"34","NJ",1,0.025,0,"plus"
"35","NM",6,0.051,0,"plus"
"36","NV",2,0,0,"plus"
"37","NY",8,10.718,0,"minus"
"38","OH",12,2.735,1,"plus"
"39","OK",63,0.41,6,"plus"
"40","OR",0,0,0,"plus"
"41","PA",12,9.335,0,"plus"
"42","PR",1,0.03,0,"plus"
"43","RI",1,0.05,0,"plus"
"44","SC",10,0.917,0,"plus"
"45","SD",11,0.501,0,"plus"
"46","TN",28,47.101,3,"minus"
"47","TX",115,724.131,0,"minus"
"48","UT",1,0,0,"plus"
"49","VA",11,3.043,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",1,0.01,0,"plus"
"52","WA",0,0,0,"plus"
"53","WI",4,0.42,0,"plus"
"54","WV",1,0.15,0,"plus"
"55","WY",4,0,0,"plus"
