"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",57,2.342,0,"plus"
"3","AR",37,4.593,0,"plus"
"4","AS",0,0,0,"plus"
"5","AZ",3,0,0,"plus"
"6","CA",3,0.025,0,"plus"
"7","CO",19,0.002,0,"plus"
"8","CT",0,0,0,"plus"
"9","DC",1,0,0,"plus"
"10","DE",1,0,0,"plus"
"11","FL",57,1.646,0,"plus"
"12","GA",117,322.423,16,"minus"
"13","GU",0,0,0,"plus"
"14","HI",0,0,0,"plus"
"15","IA",52,4.874,0,"plus"
"16","ID",1,2e-04,0,"plus"
"17","IL",49,8.961,3,"plus"
"18","IN",29,13.805,0,"minus"
"19","KS",60,0.987,0,"plus"
"20","KY",25,4.94,0,"plus"
"21","LA",84,12.712,3,"minus"
"22","MA",2,0.434,0,"plus"
"23","MD",4,0.75,0,"plus"
"24","ME",7,0,0,"plus"
"25","MI",9,0.31,0,"plus"
"26","MN",60,4.57,0,"plus"
"27","MO",81,19.77,1,"minus"
"28","MS",68,30.1,5,"minus"
"29","MT",1,0,0,"plus"
"30","NC",28,40.033,0,"minus"
"31","ND",32,3.601,0,"plus"
"32","NE",32,4.101,0,"plus"
"33","NH",0,0,0,"plus"
"34","NJ",2,0,0,"plus"
"35","NM",12,0,0,"plus"
"36","NV",2,0,0,"plus"
"37","NY",12,0.462,0,"plus"
"38","OH",41,12.73,0,"minus"
"39","OK",85,77.69,1,"minus"
"40","OR",3,0.28,0,"plus"
"41","PA",25,2.11,0,"plus"
"42","PR",1,0,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",43,3.538,1,"plus"
"45","SD",15,0,0,"plus"
"46","TN",33,9.08,0,"plus"
"47","TX",169,21.8855,4,"minus"
"48","UT",2,0,0,"plus"
"49","VA",26,9.994,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",2,0.004,0,"plus"
"53","WI",23,12.1195,1,"minus"
"54","WV",4,0.385,0,"plus"
"55","WY",10,0.614,0,"plus"
