"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",37,26.019,0,"minus"
"3","AR",31,21.073,2,"minus"
"4","AS",0,0,0,"plus"
"5","AZ",12,1.61,0,"plus"
"6","CA",8,3.575,0,"plus"
"7","CO",71,0.55,0,"plus"
"8","CT",6,0.904,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",0,0,0,"plus"
"11","FL",19,3.8655,0,"plus"
"12","GA",9,6.0785,0,"plus"
"13","GU",0,0,0,"plus"
"14","HI",0,0,0,"plus"
"15","IA",33,759.05,0,"minus"
"16","ID",2,0.025,0,"plus"
"17","IL",48,118.401,1,"minus"
"18","IN",27,3.7502,0,"plus"
"19","KS",88,1.1318,0,"plus"
"20","KY",20,1.285,0,"plus"
"21","LA",24,387.659,10,"minus"
"22","MA",0,0,0,"plus"
"23","MD",4,0.29,0,"plus"
"24","ME",5,0,0,"plus"
"25","MI",27,65.981,1,"minus"
"26","MN",111,4.8605,3,"plus"
"27","MO",62,98.7949,5,"minus"
"28","MS",40,14.938,4,"minus"
"29","MT",10,33.099,2,"minus"
"30","NC",26,24.485,0,"minus"
"31","ND",59,4.865,1,"plus"
"32","NE",37,0.876,0,"plus"
"33","NH",1,0,0,"plus"
"34","NJ",1,0.025,0,"plus"
"35","NM",11,0.7315,0,"plus"
"36","NV",0,0,0,"plus"
"37","NY",13,15.279,1,"minus"
"38","OH",40,145.793,8,"minus"
"39","OK",102,9.498,7,"plus"
"40","OR",2,1.2,0,"plus"
"41","PA",17,1.63,0,"plus"
"42","PR",0,0,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",23,10.16,0,"minus"
"45","SD",38,1.1425,0,"plus"
"46","TN",30,12.051,0,"minus"
"47","TX",107,9.768,0,"plus"
"48","UT",2,0.025,0,"plus"
"49","VA",7,1.67,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",2,0.05,0,"plus"
"52","WA",2,0.003,0,"plus"
"53","WI",46,26.172,0,"minus"
"54","WV",1,0.075,0,"plus"
"55","WY",20,0.121,0,"plus"
