"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",21,1.77,0,"plus"
"3","AR",31,8.63,2,"plus"
"4","AS",0,0,0,"plus"
"5","AZ",1,0,0,"plus"
"6","CA",4,0.02,0,"plus"
"7","CO",26,0.005,0,"plus"
"8","CT",4,5.075,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",1,0,0,"plus"
"11","FL",37,6.4545,0,"plus"
"12","GA",17,77.252,1,"minus"
"13","GU",0,0,0,"plus"
"14","HI",0,0,0,"plus"
"15","IA",25,4.899,1,"plus"
"16","ID",6,0,0,"plus"
"17","IL",52,1072.762,5,"minus"
"18","IN",40,3.3685,0,"plus"
"19","KS",55,2.138,0,"plus"
"20","KY",35,12.123,3,"minus"
"21","LA",35,2.215,0,"plus"
"22","MA",2,0.02,0,"plus"
"23","MD",10,0.041,0,"plus"
"24","ME",4,0,0,"plus"
"25","MI",11,0.991,0,"plus"
"26","MN",15,2,0,"plus"
"27","MO",48,68.2868,0,"minus"
"28","MS",30,42.782,2,"minus"
"29","MT",6,0.5,0,"plus"
"30","NC",10,6.9005,0,"plus"
"31","ND",16,0.1,0,"plus"
"32","NE",50,7.74,0,"plus"
"33","NH",0,0,0,"plus"
"34","NJ",3,0.3,0,"plus"
"35","NM",2,0,0,"plus"
"36","NV",0,0,0,"plus"
"37","NY",6,0.235,0,"plus"
"38","OH",30,7.12,0,"plus"
"39","OK",82,2008.748,34,"minus"
"40","OR",3,0.001,0,"plus"
"41","PA",9,0.5215,0,"plus"
"42","PR",1,0.01,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",9,0.643,0,"plus"
"45","SD",13,0.325,0,"plus"
"46","TN",41,8.149,0,"plus"
"47","TX",84,270.215,7,"minus"
"48","UT",1,0.01,0,"plus"
"49","VA",5,0.05,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",2,0.035,0,"plus"
"53","WI",15,19.502,0,"minus"
"54","WV",0,0,0,"plus"
"55","WY",8,0,0,"plus"
